run,scope,metric,baseline,optimized,reduction_pct
p4_h0,all_signals,events,5219,3423,34.41
p4_h0,all_signals,bit_toggles,23998,12111,49.53
p4_h0,internal,events,2399,903,62.36
p4_h0,internal,bit_toggles,13114,3694,71.83
p4_h0,internal+outputs,events,3001,1205,59.85
p4_h0,internal+outputs,bit_toggles,16623,4736,71.51
p4_h0,clock,events,823,823,0.0
p4_h0,clock,bit_toggles,823,823,0.0
p4_h0,inputs,events,1395,1395,0.0
p4_h0,inputs,bit_toggles,6552,6552,0.0
