batch,context,status,step_ms,tok_s,kv_bytes_read_mb,weight_bytes_mb,kv_share,est_total_gbps,pct_peak_bw
1,1024,ok,22.651881001365837,44.14644417122371,23.068672,2200.096768,0.010376498116127605,98.144848980354,6.311565850826624
2,1024,ok,24.527548001060495,81.5409677279411,46.137344,2200.096768,0.0205398643683317,91.58005161799622,5.889392387009403
4,1024,ok,24.665270997502375,162.1713380082077,92.274688,2200.096768,0.04025293883261474,92.9392365578358,5.9767997786389575
8,1024,ok,24.462921999656828,327.025528680189,184.549376,2200.096768,0.07739067553663845,97.48002074459676,6.268811623446736
16,1024,ok,25.012035999679938,639.6920266788653,369.098752,2200.096768,0.14366316192237483,102.71836807019133,6.605682834095906
32,1024,ok,26.921107000816846,1188.6584009724804,738.197504,2200.096768,0.25123334685519205,109.1446303419412,7.018947288870816
64,1024,ok,29.022160997556057,2205.2113901990074,1476.395008,2200.096768,0.4015771278580986,126.67877406887777,8.146544956197928
