context,free_mem_gib_before,analytic_kv_only_ceiling,measured_max_batch,limited_by,measured_vs_analytic
512,36.82366943359375,3427,1676,oom,0.48905748468047855
1024,36.82366943359375,1713,844,oom,0.49270286047869233
2000,36.82366943359375,877,432,oom,0.4925883694412771
