t_s,batch,n_prefill,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
0.0604,1,1,711,30.975466997915646,29.38689999791677,0.8477080009470228,60.401299997465685,0.0,711,0,0,45,0.9888888888888889,0
0.08754,1,0,0,0.0,27.108317000966053,0.6523650008602999,27.130245998705504,0.0,712,0,0,45,0.9902777777777778,0
0.11232,1,0,0,0.0,24.752743000135524,0.6428830020013265,24.77342400015914,0.0,713,0,0,45,0.9916666666666667,0
0.13738,1,0,0,0.0,25.039885000296636,0.6449829998018686,25.0580469983106,0.0,714,0,0,45,0.9930555555555556,0
0.1624,1,0,0,0.0,24.982290997286327,0.6290109995461535,25.012100999447284,0.0,715,0,0,45,0.9944444444444445,0
0.18778,1,0,0,0.0,25.350432999402983,0.6570929981535301,25.373210999532603,0.0,716,0,0,45,0.9958333333333333,0
0.21297,1,0,0,0.0,25.16518700213055,0.6521880022773985,25.185882001096616,0.0,717,0,0,45,0.9972222222222222,0
0.23796,1,0,0,0.0,24.967929999547778,0.6413679984689225,24.986411997815594,0.0,718,0,0,45,0.9986111111111111,0
0.26344,1,0,0,0.0,25.45334399837884,0.6300580025708769,25.4735359994811,0.0,719,0,0,45,1.0,0
0.32405,4,3,413,30.046268002479337,30.512915000144858,0.9198330008075573,60.60981700284174,0.6065972222222222,720,0,0,74,0.9603040540540541,0
0.35453,4,0,0,0.0,30.4515799980436,0.9301099998992868,30.47893999973894,0.6057558945908461,721,0,0,74,0.9636824324324325,0
0.38493,4,0,0,0.0,30.362260000401875,0.9701149974716827,30.388416998903267,0.6049168975069252,722,0,0,74,0.9670608108108109,0
0.41578,4,0,0,0.0,30.821004998870194,0.9364470024593174,30.848555001284694,0.6040802213001384,723,0,0,74,0.9704391891891891,0
0.47257,5,1,293,26.286775999324163,30.447512999671744,1.1280229991825763,56.78214599902276,0.6016574585635359,724,0,0,94,0.9621010638297872,0
0.50285,5,0,0,0.0,30.256370999268256,1.1303189967293292,30.280783998023253,0.6008275862068966,725,0,0,94,0.9654255319148937,0
0.53358,5,0,0,0.0,30.692735002958216,1.1248160008108243,30.71822999845608,0.6,726,0,0,94,0.96875,0
0.56328,5,0,0,0.0,29.6724429972528,1.1327489992254414,29.696984998736298,0.5991746905089408,727,0,0,94,0.9720744680851063,0
0.59351,5,0,0,0.0,30.20309199928306,1.1270870018051937,30.225933998735854,0.5983516483516483,728,0,0,94,0.9753989361702128,0
0.6243,5,0,0,0.0,30.76384800078813,1.117012001486728,30.785604001721367,0.5975308641975309,729,0,0,94,0.9787234042553191,0
0.65504,5,0,0,0.0,30.712249001226155,1.1616000010690186,30.738325000129407,0.5967123287671232,730,0,0,94,0.9820478723404256,0
0.68583,5,0,0,0.0,30.763191000005463,1.1619249999057502,30.78970400019898,0.5958960328317373,731,0,0,94,0.9853723404255319,0
0.7164,5,0,0,0.0,30.532887001754716,1.1269349997746758,30.568345999199664,0.5950819672131147,732,0,0,94,0.9886968085106383,0
0.74709,5,0,0,0.0,30.652647001261357,1.134854999691015,30.67727799862041,0.5942701227830832,733,0,0,94,0.9920212765957447,0
0.77756,5,0,0,0.0,30.44031100216671,1.1426659984863363,30.465186999208527,0.5934604904632153,734,0,0,94,0.995345744680851,0
0.80766,5,0,0,0.0,30.072537996602478,1.1873130024468992,30.102406999503728,0.5926530612244898,735,0,0,96,0.9778645833333334,0
0.86361,6,1,201,25.67163999992772,30.2216470008716,1.2860369970439933,55.94033200031845,0.614356884057971,736,0,0,111,0.9622747747747747,0
0.894,6,0,0,0.0,30.364772999746492,1.2972560034540948,30.38985400053207,0.6135232926277703,737,0,0,111,0.9656531531531531,0
0.92502,6,0,0,0.0,30.983297001512256,1.303083001403138,31.006424000224797,0.6126919602529359,738,0,0,111,0.9690315315315315,0
0.95591,6,0,0,0.0,30.867850000504404,1.3287660003697965,30.893376999301836,0.6118628777627424,739,0,0,111,0.9724099099099099,0
0.98682,6,0,0,0.0,30.87128799961647,1.3574340009654406,30.90204399995855,0.6110360360360361,740,0,0,112,0.9670758928571429,0
1.04452,7,1,215,26.739215998532018,30.916121999325696,1.4594169988413341,57.69959400277003,0.6244457297088877,741,0,0,126,0.9697420634920635,0
1.07528,7,0,0,0.0,30.72706700186245,1.492014001996722,30.75481499763555,0.62360415864459,742,0,0,126,0.9732142857142857,0
1.10528,7,0,0,0.0,29.971258001751266,1.4795550014241599,30.00014999997802,0.6227648529129013,743,0,0,127,0.968996062992126,0
1.13616,7,0,0,0.0,30.845424000290222,1.4825750004092697,30.86964199974318,0.6219278033794162,744,0,0,127,0.9724409448818898,0
1.16674,7,0,0,0.0,30.55434099951526,1.4640230001532473,30.58014300040668,0.6210930009587727,745,0,0,127,0.9758858267716536,0
1.22566,8,1,190,26.24986299997545,32.620747999317246,2.688765001948923,58.91466400134959,0.6358914209115282,746,0,0,139,0.9806654676258992,0
1.25708,8,0,0,0.0,31.388259001687402,1.6614599990134593,31.41717199832783,0.6350401606425703,747,0,0,139,0.9842625899280576,0
1.28816,8,0,0,0.0,31.045419000292895,1.6363140020985156,31.076133000169648,0.6341911764705883,748,0,0,140,0.9808035714285714,0
1.31947,8,0,0,0.0,31.27609500006656,1.6578370014030952,31.306242999562528,0.6333444592790387,749,0,0,140,0.984375,0
1.3509,8,0,0,0.0,31.39226599887479,1.6421560030721594,31.422626998391934,0.6325000000000001,750,0,0,141,0.9809397163120568,0
1.38112,8,0,0,0.0,30.184455998096382,1.667877997533651,30.213802001526346,0.6316577896138482,751,0,0,143,0.9707167832167832,0
1.41194,8,0,0,0.0,30.787062998570036,1.635124997847015,30.817008002486546,0.6308178191489362,752,0,0,145,0.9607758620689655,0
1.44327,8,0,0,0.0,31.29877700121142,1.6601600000285544,31.322214999818243,0.6299800796812749,753,0,0,145,0.9642241379310345,0
1.47418,8,0,0,0.0,30.884806998074055,1.6521799989277497,30.91332799886004,0.6291445623342176,754,0,0,145,0.9676724137931034,0
1.5047,8,0,0,0.0,30.48555300119915,1.6622519979136996,30.51243500158307,0.6283112582781457,755,0,0,145,0.9711206896551724,0
1.53544,8,0,0,0.0,30.697977999807335,1.6404370035161264,30.739623001863947,0.6274801587301587,756,0,0,146,0.9678938356164384,0
1.56601,8,0,0,0.0,30.542139000317547,1.6861230033100583,30.5667220018222,0.6266512549537648,757,0,0,146,0.971318493150685,0
1.59614,8,0,0,0.0,30.095953999989433,1.6338710011041258,30.119865001324797,0.6258245382585752,758,0,0,146,0.9747431506849316,0
1.62615,8,0,0,0.0,29.98233399921446,1.62994099810021,30.00621799947112,0.625,759,0,0,147,0.9715136054421769,0
1.65683,8,0,0,0.0,30.65210400018259,1.644424999540206,30.677601000206778,0.6241776315789473,760,0,0,147,0.9749149659863946,0
1.68722,8,0,0,0.0,30.35878400260117,1.6572159984207246,30.383862998860423,0.6233574244415243,761,0,0,147,0.9783163265306123,0
1.71747,8,0,0,0.0,30.217555999115575,1.6473059986310545,30.25161100231344,0.6225393700787402,762,0,0,137,0.9822080291970803,0
1.74797,7,0,0,0.0,30.470226000034017,1.5256180013238918,30.493285001284676,0.5968919677962928,763,0,0,137,0.9854014598540146,0
1.7782,7,0,0,0.0,30.198057000234257,1.5339689998654649,30.22704799877829,0.5961106955871354,764,0,0,138,0.9814311594202898,0
1.81686,7,0,0,0.0,38.62776700043469,1.533045000542188,38.65551900162245,0.5953314659197012,765,0,0,138,0.9846014492753623,0
1.85111,7,0,0,0.0,34.21576099935919,1.711682001769077,34.24765100135119,0.5945542707944796,766,0,0,139,0.9806654676258992,0
1.88193,7,0,0,0.0,30.785809001827147,1.5931999987515155,30.815592002909398,0.5937791022536785,767,0,0,140,0.9767857142857143,0
1.94029,8,1,209,26.3995099994645,31.90334800092387,1.738069000566611,58.3564340013254,0.60986328125,768,0,0,156,0.9635416666666666,0
1.97229,8,0,0,0.0,31.969884999853093,1.7943819984793663,32.00119599932805,0.6090702210663199,769,0,0,156,0.9667467948717948,0
2.00369,8,0,0,0.0,31.366641000204254,1.751766998495441,31.39573500084225,0.6082792207792207,770,0,0,156,0.9699519230769231,0
2.0351,8,0,0,0.0,31.35583300172584,1.7481079994468018,31.395836002047872,0.6074902723735409,771,0,0,156,0.9731570512820513,0
2.06609,8,0,0,0.0,30.962636999902315,1.7402739977114834,30.995200999313965,0.6067033678756477,772,0,0,157,0.9701433121019108,0
2.09704,8,0,0,0.0,30.91783700074302,1.7448120015615132,30.945032001909567,0.6059184993531694,773,0,0,157,0.973328025477707,0
2.12807,8,0,0,0.0,30.994537002698053,1.746959998854436,31.01779099961277,0.6051356589147288,774,0,0,157,0.9765127388535032,0
2.15822,8,0,0,0.0,30.119620001642033,1.7783850016712677,30.14661900306237,0.6043548387096774,775,0,0,158,0.973496835443038,0
2.18897,8,0,0,0.0,30.72149299987359,1.7303259992331732,30.74663300139946,0.6035760309278351,776,0,0,158,0.9766613924050633,0
2.22021,8,0,0,0.0,31.207476000417955,1.7326669985777698,31.23354500348796,0.6027992277992278,777,0,0,158,0.9798259493670886,0
2.25176,8,0,0,0.0,31.522193999990122,1.7589870003575925,31.549604998872383,0.6020244215938304,778,0,0,158,0.9829905063291139,0
2.28289,8,0,0,0.0,31.09774800032028,1.7811929974413943,31.124163000640692,0.6012516046213094,779,0,0,158,0.9861550632911392,0
2.31379,8,0,0,0.0,30.87190800215467,1.8160459985665511,30.900000001565786,0.6004807692307692,780,0,0,159,0.9830974842767296,0
2.34477,8,0,0,0.0,30.951181001000805,1.7512910017103422,30.974918998253997,0.5997119078104993,781,0,0,159,0.9862421383647799,0
2.37543,8,0,0,0.0,30.622926002251916,1.7425689984520432,30.650627999420976,0.5989450127877238,782,0,0,160,0.983203125,0
2.40542,8,0,0,0.0,29.967950998980086,1.774218999344157,29.995444001542637,0.5981800766283525,783,0,0,162,0.9741512345679012,0
2.43641,8,0,0,0.0,30.95153200047207,1.7507070006104186,30.977648002590286,0.5974170918367347,784,0,0,164,0.9653201219512195,0
2.46727,8,0,0,0.0,30.833628999971552,1.7718369999784045,30.85966000071494,0.596656050955414,785,0,0,164,0.9683689024390244,0
2.49853,8,0,0,0.0,31.230888002028223,1.760838000336662,31.25818300031824,0.5958969465648856,786,0,0,164,0.9714176829268293,0
2.52969,8,0,0,0.0,31.12584200061974,1.7698960000416264,31.14869099954376,0.5951397712833545,787,0,0,164,0.9744664634146342,0
2.56038,8,0,0,0.0,30.651811001007445,1.7738189999363385,30.685730998811778,0.5943845177664975,788,0,0,165,0.9715909090909091,0
2.59102,8,0,0,0.0,30.618379001680296,1.7736260015226435,30.640906999906292,0.5936311787072244,789,0,0,165,0.9746212121212121,0
2.62154,8,0,0,0.0,30.493422000290593,1.757638998242328,30.51614200012409,0.592879746835443,790,0,0,165,0.9776515151515152,0
2.65202,8,0,0,0.0,30.452375998720527,1.761030998750357,30.477457999950275,0.5921302149178256,791,0,0,166,0.9747740963855421,0
2.68267,8,0,0,0.0,30.61994599920581,1.8297480019100476,30.642673998954706,0.5913825757575757,792,0,0,166,0.9777861445783133,0
2.7134,8,0,0,0.0,30.708240003150422,1.8088530014210846,30.732287999853725,0.5906368221941992,793,0,0,166,0.9807981927710844,0
2.74454,8,0,0,0.0,31.10588299750816,1.7745039986039046,31.129956998483976,0.5898929471032746,794,0,0,166,0.9838102409638554,0
2.7755,8,0,0,0.0,30.934745002014097,1.8054009997285903,30.961535001551965,0.5891509433962264,795,0,0,166,0.9868222891566265,0
2.80669,8,0,0,0.0,31.160042999545112,1.8002380020334385,31.19034900009865,0.5884108040201005,796,0,0,167,0.9839071856287425,0
2.83789,8,0,0,0.0,31.161797000095248,1.799384001060389,31.18661299959058,0.58767252195734,797,0,0,167,0.9869011976047904,0
2.86904,8,0,0,0.0,31.122279000555864,1.8141159998776857,31.153366002399707,0.5869360902255639,798,0,0,168,0.9840029761904762,0
2.89927,8,0,0,0.0,30.194543000106933,1.8221130012534559,30.22431499994127,0.5862015018773468,799,0,0,170,0.9753676470588235,0
2.93045,8,0,0,0.0,31.14611899945885,1.8111950012098532,31.174143001408083,0.58546875,800,0,0,172,0.9669331395348837,0
2.96133,8,0,0,0.0,30.849661998217925,1.7979219992412254,30.87611599767115,0.5847378277153559,801,0,0,172,0.9698401162790697,0
2.99253,8,0,0,0.0,31.171681999694556,1.8360459980613086,31.199634999211412,0.5840087281795512,802,0,0,172,0.9727470930232558,0
3.02347,8,0,0,0.0,30.903945000318345,1.8728430004557595,30.930468998121796,0.5832814445828145,803,0,0,172,0.9756540697674418,0
3.0544,8,0,0,0.0,30.89303999877302,1.8007870021392591,30.91974899871275,0.5825559701492538,804,0,0,173,0.9729046242774566,0
3.08516,8,0,0,0.0,30.73764799773926,1.8464079985278659,30.76213000167627,0.5818322981366459,805,0,0,173,0.9757947976878613,0
3.11586,8,0,0,0.0,30.674588000692893,1.8077169988828246,30.697319001774304,0.5811104218362283,806,0,0,173,0.9786849710982659,0
3.14606,8,0,0,0.0,30.16619600020931,1.8028689992206637,30.19175499866833,0.5803903345724908,807,0,0,174,0.975933908045977,0
3.17659,8,0,0,0.0,30.508520001603756,1.7983289981202688,30.531054999300977,0.5796720297029703,808,0,0,174,0.9788074712643678,0
3.20739,8,0,0,0.0,30.76841799702379,1.8267790001118556,30.791618999501225,0.5789555006180469,809,0,0,174,0.9816810344827587,0
3.23841,8,0,0,0.0,30.989515002147527,1.8169120012316853,31.017717999930028,0.5782407407407407,810,0,0,158,0.9833860759493671,0
3.26945,7,0,0,0.0,31.01563400196028,1.6558179995627142,31.04071599955205,0.5620926545710763,811,0,0,158,0.9861550632911392,0
3.30055,7,0,0,0.0,31.07393499885802,1.654267998674186,31.09840199977043,0.5614004222378607,812,0,0,158,0.9889240506329114,0
3.33134,7,0,0,0.0,30.753482998989057,1.6734870005166158,30.7827759970678,0.5607098928132139,813,0,0,140,0.9946428571428572,0
3.36187,6,0,0,0.0,30.497768999339314,1.4781280005990993,30.52305100209196,0.5438165438165439,814,0,0,141,0.9902482269503546,0
3.39164,6,0,0,0.0,29.73924599791644,1.4774810006201733,29.766863000986632,0.5431492842535788,815,0,0,143,0.9790209790209791,0
3.44779,7,1,476,25.181334000080824,30.920750999939628,1.7414390022167936,56.14916400008951,0.5245098039215687,816,0,0,175,0.9725,0
3.47852,7,0,0,0.0,30.702185998961795,1.761867999448441,30.728331999853253,0.5238678090575275,817,0,0,175,0.975,0
3.50912,7,0,0,0.0,30.561733998183627,1.7353530020045582,30.58653300104197,0.5232273838630808,818,0,0,175,0.9775,0
3.53998,7,0,0,0.0,30.836621997877955,1.7446489982830826,30.858363999868743,0.5225885225885225,819,0,0,175,0.98,0
3.57052,7,0,0,0.0,30.500124998070532,1.7302070009463932,30.52598499925807,0.5219512195121951,820,0,0,177,0.9713983050847458,0
3.60105,7,0,0,0.0,30.50101200278732,1.7508729979454074,30.524427002092125,0.5213154689403167,821,0,0,177,0.9738700564971752,0
3.63213,7,0,0,0.0,31.059836997883394,1.731328997266246,31.081740999070462,0.5206812652068127,822,0,0,177,0.9763418079096046,0
3.66243,7,0,0,0.0,30.26650299943867,1.7654799994488712,30.290378999779932,0.520048602673147,823,0,0,177,0.9788135593220338,0
3.69313,7,0,0,0.0,30.666149999888148,1.7557130013301503,30.696888999955263,0.5194174757281553,824,0,0,160,0.98203125,0
3.72358,6,0,0,0.0,30.430497998167994,1.5761829999973997,30.455688000074588,0.49212121212121207,825,0,0,160,0.984375,0
3.75428,6,0,0,0.0,30.66617000149563,1.5700939984526485,30.68833699944662,0.4915254237288136,826,0,0,160,0.98671875,0
3.78475,6,0,0,0.0,30.451063001237344,1.5708629980508704,30.47454600164201,0.49093107617896015,827,0,0,160,0.9890625,0
3.81517,6,0,0,0.0,30.38703399943188,1.5694579997216351,30.409491999307647,0.4903381642512077,828,0,0,160,0.99140625,0
3.84595,6,0,0,0.0,30.751739999686833,1.5748529986012727,30.774378003116,0.48974668275030153,829,0,0,160,0.99375,0
3.87635,6,0,0,0.0,30.37239700279315,1.5841249987715855,30.39714600163279,0.4891566265060241,830,0,0,161,0.9899068322981367,0
3.90611,6,0,0,0.0,29.720754999289056,1.6019760005292483,29.75457100183121,0.48856799037304455,831,0,0,163,0.9800613496932515,0
3.93668,6,0,0,0.0,30.548512000677874,1.5715600020484999,30.5711250002787,0.4879807692307693,832,0,0,164,0.9763719512195121,0
3.96716,6,0,0,0.0,30.45528299844591,1.588292001542868,30.47786200113478,0.4873949579831933,833,0,0,164,0.9786585365853658,0
3.99775,6,0,0,0.0,30.559849998098798,1.5964710000844207,30.58460499960347,0.48681055155875297,834,0,0,164,0.9809451219512195,0
4.02825,6,0,0,0.0,30.470899000647478,1.597526999830734,30.49394099798519,0.4862275449101796,835,0,0,164,0.9832317073170732,0
4.059,6,0,0,0.0,30.722831997991307,1.584909998200601,30.750523997994605,0.4856459330143541,836,0,0,166,0.973644578313253,0
4.09014,6,0,0,0.0,31.114235996938078,1.603773001988884,31.1419930003467,0.48506571087216244,837,0,0,166,0.9759036144578314,0
4.12121,6,0,0,0.0,31.0302670004603,1.632378000067547,31.058137999934843,0.4844868735083532,838,0,0,166,0.9781626506024096,0
4.15217,6,0,0,0.0,30.927381001674803,1.6393090008932631,30.955883998103673,0.4839094159713945,839,0,0,166,0.9804216867469879,0
4.18326,6,0,0,0.0,31.048279997776262,1.6223389975493774,31.07685899885837,0.4833333333333333,840,0,0,166,0.9826807228915663,0
4.21447,6,0,0,0.0,31.175555999652715,1.6420539977843873,31.203164002363337,0.48275862068965514,841,0,0,166,0.9849397590361446,0
4.27734,8,2,687,31.451394002942834,31.356596999103203,1.9973640009993687,62.86123599784332,0.5096496437054632,842,0,0,210,0.9854166666666667,0
4.30922,8,0,0,0.0,31.852812997385627,2.0523629973467905,31.881053000688553,0.5090450771055753,843,0,0,210,0.9877976190476191,0
4.3411,8,0,0,0.0,31.845204001001548,2.0267020008759573,31.872971998382127,0.5084419431279621,844,0,0,210,0.9901785714285715,0
4.37258,8,0,0,0.0,31.4471349993255,2.0708039992314298,31.47528599947691,0.5078402366863906,845,0,0,210,0.9925595238095238,0
4.40393,8,0,0,0.0,31.32111099694157,2.055840999673819,31.351559999166057,0.5072399527186762,846,0,0,211,0.9902251184834123,0
4.43468,8,0,0,0.0,30.71188899775734,2.037313999608159,30.74001999993925,0.5066410861865407,847,0,0,214,0.978679906542056,0
4.46581,8,0,0,0.0,31.10215700144181,2.0175870013190433,31.13061700059916,0.5060436320754718,848,0,0,215,0.976453488372093,0
4.49694,8,0,0,0.0,31.094845999177778,2.0637249981518835,31.120826002734248,0.5054475853945819,849,0,0,215,0.9787790697674419,0
4.52848,8,0,0,0.0,31.5025970012357,2.0763809989148285,31.530811000266112,0.5048529411764706,850,0,0,215,0.9811046511627907,0
4.56039,8,0,0,0.0,31.86138499950175,2.070562000881182,31.907096999930218,0.5042596944770859,851,0,0,196,0.9853316326530612,0
4.5916,7,0,0,0.0,31.172820999927353,1.9214060012018308,31.20403299908503,0.4818913480885312,852,0,0,198,0.9775883838383839,0
4.62274,7,0,0,0.0,31.093913999939105,1.896120000310475,31.145291999564506,0.48132641098643447,853,0,0,198,0.9797979797979798,0
4.65452,7,0,0,0.0,31.734708998556016,1.8903910022345372,31.767107000632677,0.4807627969220475,854,0,0,199,0.977072864321608,0
4.68533,7,0,0,0.0,30.778731001191773,1.9321340005262755,30.80664099979913,0.48020050125313285,855,0,0,199,0.9792713567839196,0
4.71657,7,0,0,0.0,31.211634999635862,1.8979029991896823,31.239128002198413,0.4796395193591455,856,0,0,199,0.9814698492462312,0
4.74782,7,0,0,0.0,31.212514997605467,1.888536997284973,31.236948998412117,0.4790798466411068,857,0,0,199,0.9836683417085427,0
4.77876,7,0,0,0.0,30.919462002202636,1.884189998236252,30.943718000344234,0.4785214785214785,858,0,0,199,0.9858668341708543,0
4.83559,8,1,289,25.636930000473512,31.143477997829905,2.0889229999738745,56.81977800122695,0.5011641443538999,859,0,0,218,0.9850917431192661,0
4.89226,9,1,120,25.210230000084266,31.404298999405,2.2240929974941537,56.66610299886088,0.5405684754521964,860,0,0,208,0.9867788461538461,0
4.92328,8,0,0,0.0,30.98819899969385,2.020949999860022,31.014175998279825,0.5232288037166086,861,0,0,208,0.9891826923076923,0
4.95449,8,0,0,0.0,31.176633998256875,2.031664000242017,31.20325499912724,0.5226218097447796,862,0,0,209,0.9868421052631579,0
4.98504,8,0,0,0.0,30.52106100221863,2.039789000264136,30.552109998097876,0.5220162224797219,863,0,0,211,0.9798578199052133,0
5.01627,8,0,0,0.0,31.19098800016218,2.0636379995266907,31.221437999192858,0.521412037037037,864,0,0,212,0.9775943396226415,0
5.04752,8,0,0,0.0,31.21315599855734,2.049595001153648,31.238279003446223,0.5208092485549133,865,0,0,212,0.9799528301886793,0
5.0787,8,0,0,0.0,31.156545999692753,2.062753999780398,31.184158997348277,0.5202078521939955,866,0,0,212,0.9823113207547169,0
5.13544,9,1,82,25.311823999800254,31.36247899965383,2.202986001066165,56.72130300081335,0.5624759707804691,867,0,0,218,0.9813646788990825,0
5.16705,9,0,0,0.0,31.571645999065368,2.520960999390809,31.602377999661257,0.5618279569892473,868,0,0,220,0.975,0
5.19856,9,0,0,0.0,31.482397000218043,2.1924430002400186,31.510652999713784,0.5611814345991561,869,0,0,220,0.9775568181818182,0
5.23038,9,0,0,0.0,31.769734003319172,2.19686599666602,31.80957199947443,0.560536398467433,870,0,0,221,0.9756787330316742,0
5.26131,9,0,0,0.0,30.898110999260098,2.2016319999238476,30.925204999221023,0.5598928434749331,871,0,0,221,0.9782239819004525,0
5.29259,9,0,0,0.0,31.24898799796938,2.2053319989936426,31.274917000700952,0.5592507645259939,872,0,0,221,0.9807692307692307,0
5.34952,10,1,52,25.135707001027185,31.753755996760447,2.375003998167813,56.93099299969617,0.5967926689576174,873,0,0,225,0.9805555555555555,0
5.38075,10,0,0,0.0,31.200146997434786,2.3503830016124994,31.23032800067449,0.5961098398169337,874,0,0,226,0.9789823008849557,0
5.41198,10,0,0,0.0,31.191392001346685,2.3406610016536433,31.218874002661323,0.5954285714285714,875,0,0,226,0.9817477876106194,0
5.44342,10,0,0,0.0,31.410865998623194,2.3605210008099675,31.43592900232761,0.5947488584474886,876,0,0,226,0.9845132743362832,0
5.47445,10,0,0,0.0,30.998473001091043,2.369087000261061,31.02617400145391,0.5940706955530217,877,0,0,226,0.9872787610619469,0
5.50546,10,0,0,0.0,30.98059300100431,2.3758390016155317,31.010578000859823,0.5933940774487472,878,0,0,227,0.98568281938326,0
5.5358,10,0,0,0.0,30.307952001749072,2.378427001531236,30.33762400082196,0.5927189988623436,879,0,0,229,0.9798034934497817,0
5.56686,10,0,0,0.0,31.024914998852182,2.3462270000891294,31.053509999765083,0.5920454545454545,880,0,0,230,0.9782608695652174,0
5.59774,10,0,0,0.0,30.851726998662343,2.3658169993723277,30.879292000463465,0.5913734392735528,881,0,0,231,0.9767316017316018,0
5.62859,10,0,0,0.0,30.819908999546897,2.3392939983750694,30.84247399965534,0.590702947845805,882,0,0,231,0.9794372294372294,0
5.66024,10,0,0,0.0,31.617355001799297,2.401462999841897,31.64196200305014,0.5900339750849377,883,0,0,231,0.9821428571428571,0
5.69117,10,0,0,0.0,30.89007300150115,2.379305002250476,30.917800002498552,0.5893665158371041,884,0,0,233,0.9763948497854077,0
5.72216,10,0,0,0.0,30.962050997914048,2.381816000706749,30.989152000984177,0.5887005649717514,885,0,0,234,0.9748931623931624,0
5.75357,10,0,0,0.0,31.3724169973284,2.3858400018070824,31.40005800014478,0.5880361173814899,886,0,0,235,0.973404255319149,0
5.78413,10,0,0,0.0,30.53678599826526,2.43187700107228,30.56285300044692,0.5873731679819616,887,0,0,235,0.976063829787234,0
5.8152,10,0,0,0.0,31.030266000016127,2.419493997876998,31.05648099881364,0.5867117117117118,888,0,0,235,0.9787234042553191,0
5.84642,10,0,0,0.0,31.19478200096637,2.394245002506068,31.218255000567297,0.5860517435320585,889,0,0,235,0.9813829787234043,0
5.87743,10,0,0,0.0,30.97739599979832,2.409963999525644,31.00591399925179,0.5853932584269663,890,0,0,236,0.9798728813559322,0
5.90848,10,0,0,0.0,31.017391000204952,2.422541998384986,31.04423300101189,0.5847362514029181,891,0,0,236,0.982521186440678,0
