comparison,arrival_rate_rps,n,throughput_out_tok_s,ttft_ms_p50,tpot_ms_p50,energy_j_per_out_token
continuous / serialized,1.0,3,"2.24× [1.84, 2.73]","0.00135× [0.000831, 0.00219]","1.28× [1.25, 1.31]","0.419× [0.364, 0.482]"
continuous / serialized,4.0,3,"7.43× [6.54, 8.43]","0.000868× [0.000841, 0.000896]","1.47× [1.4, 1.55]","0.157× [0.144, 0.171]"
continuous / static,1.0,3,"1.04× [1.02, 1.05]","0.0318× [0.0244, 0.0415]","1.12× [1.1, 1.15]","0.926× [0.894, 0.959]"
continuous / static,4.0,3,"1.83× [1.58, 2.12]","0.00678× [0.00504, 0.00913]","1.28× [1.23, 1.33]","0.593× [0.541, 0.649]"
