t_s,batch,n_prefill,padding_waste,wasted_decode_tokens
1.3238000065030064e-05,1,1,0.0,0
1.527773332000379,1,1,0.0,0
4.81345274000023,1,1,0.0,0
6.585729236000134,1,1,0.0,0
8.56388865900044,1,1,0.0,0
11.198391573000208,1,1,0.0,0
14.822720527000001,1,1,0.0,0
16.681483603000288,1,1,0.0,0
19.997796691000076,1,1,0.0,0
22.171930771999996,1,1,0.0,0
24.771591724000245,1,1,0.0,0
25.89970800900028,1,1,0.0,0
27.925951492000422,1,1,0.0,0
31.662184792000062,1,1,0.0,0
32.63768111100035,1,1,0.0,0
35.818138316000386,1,1,0.0,0
37.15553419600019,1,1,0.0,0
39.283338088000164,1,1,0.0,0
41.60606688300004,1,1,0.0,0
44.313763332000235,1,1,0.0,0
45.564428815000156,1,1,0.0,0
48.09497837000026,1,1,0.0,0
50.059687231000225,1,1,0.0,0
52.363657334000436,1,1,0.0,0
53.78984184200044,1,1,0.0,0
56.95487432400023,1,1,0.0,0
58.827580370000305,1,1,0.0,0
61.74118554800043,1,1,0.0,0
62.77605853900013,1,1,0.0,0
66.13806419000002,1,1,0.0,0
67.71662893600023,1,1,0.0,0
68.88288196200028,1,1,0.0,0
71.18032266800037,1,1,0.0,0
72.9632241270001,1,1,0.0,0
74.59145833300045,1,1,0.0,0
75.92957933700018,1,1,0.0,0
77.594582489,1,1,0.0,0
79.45985647400039,1,1,0.0,0
81.22617663200026,1,1,0.0,0
83.78885637200028,1,1,0.0,0
87.62447198100017,1,1,0.0,0
91.24941247800007,1,1,0.0,0
93.39984091900033,1,1,0.0,0
95.33906821900018,1,1,0.0,0
98.3627291290004,1,1,0.0,0
100.1863627040002,1,1,0.0,0
103.23441014000036,1,1,0.0,0
105.83047204800005,1,1,0.0,0
109.0893038930003,1,1,0.0,0
112.38981693400001,1,1,0.0,0
115.48157293900022,1,1,0.0,0
116.49941198600027,1,1,0.0,0
117.56799395000007,1,1,0.0,0
121.21318761400016,1,1,0.0,0
124.88084283300032,1,1,0.0,0
128.3696472190004,1,1,0.0,0
129.52346561000013,1,1,0.0,0
132.74752528900035,1,1,0.0,0
133.8124870390002,1,1,0.0,0
134.81250154000008,1,1,0.0,0
138.1271913300002,1,1,0.0,0
140.08456311500004,1,1,0.0,0
143.60539864300017,1,1,0.0,0
144.83484258800036,1,1,0.0,0
