rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,0.020429999949556077,35.05587600011495,1513.2837360001758,29.564557200001218,29.386879499952556,31.936690380098298,32.142312999894784,0
1,201,111,1.0196,493.8987765340932,527.4152835341516,3757.009057534174,29.359943400000205,29.293513999846255,30.777991690006274,31.073527999978978,0
2,239,60,1.0394,3737.479894945385,3769.778170945277,5533.286410945015,29.88997016948708,29.82127399991441,31.821450220013507,32.87893000015174,0
3,115,68,1.0417,5531.2835992638065,5563.403411263826,7525.405955264196,29.283620059707015,29.18923300012466,30.542464400004974,30.658333999781462,0
4,98,90,1.592,6975.26408562495,7007.027763625011,9587.094367624977,28.989512404494,28.96843100006663,30.082109879640484,30.37704099961047,0
5,146,122,3.222,7957.358127966744,7989.1139559666035,11532.063057966569,29.2805710909088,29.20343000005232,30.364812000152597,30.58610099969883,0
6,207,63,3.8955,10858.698605299183,10890.525228299326,12721.60945329914,29.53361653225505,29.43422500015913,31.07161485004326,31.090899999981048,0
7,228,113,4.6508,11966.502389474015,11998.305092473827,15295.629088473986,29.44039282142999,29.398464000223612,30.397032009773284,30.461484000170458,0
8,174,74,7.4676,12479.075951398321,12511.297757398374,14662.376784398297,29.46683598630032,29.510758000014903,29.989311320005072,30.068255000060162,0
9,98,89,13.5254,8604.846217955412,8636.566466955457,11181.843250955637,28.92359981818386,28.87179949993879,29.574474969745097,29.58514900001319,0
10,173,38,16.8118,7895.609641062056,7927.916015061801,9004.960746061915,29.10931705405715,29.092159000356332,29.42682284017792,29.44401500008098,0
11,135,68,16.8131,9003.872452726873,9035.368832727008,10998.381420726864,29.29869534328143,29.168942000069364,30.75429418015119,31.05127899971194,0
12,82,127,19.0822,8729.484764460054,8761.198890460279,12433.773870460087,29.147420476188955,29.147895500045706,29.84245975005706,30.837837999570183,0
13,253,33,19.1547,12361.505692540053,12393.572239540394,13334.102296540099,29.39156428124079,29.390063499931784,30.176839060118255,30.27547300007427,0
14,225,108,20.2241,12264.906657372987,12296.887886372926,15452.871602372736,29.49517491588607,29.516339000110747,30.492657940230856,30.545602000074723,0
15,251,45,21.073,14604.155977828255,14636.123470828394,15930.100075828292,29.408559204543135,29.388056500010862,30.183208930043293,30.23134700015362,0
16,198,71,24.2229,12780.38161608978,12812.49372808983,14854.368699090028,29.169642442859963,29.121889999714767,29.62912247026452,29.64329300039026,0
17,182,77,24.5769,14500.531727896841,14531.985649896696,16777.809300896835,29.55031119737025,29.44666500002313,31.352277250107363,31.40568099979646,0
18,211,90,24.8841,16470.88998226853,16503.560424268457,19130.34802926812,29.514467471906325,29.447661000176595,30.964918039735494,31.20475500008979,0
19,135,42,26.3763,17638.322818142427,17669.72782014213,18873.193270142423,29.352815853665717,29.313127000023087,29.8863192000681,29.96253199989951,0
