preprocess_ms,forward_ms,postprocess_ms,total_ms,inference_context
1.1360389999026665,3273.3015049998357,0.31394799952977337,3274.751491999268,no_grad
0.9207500006596092,3254.927623000185,0.2551139987190254,3256.1034869995638,no_grad
0.9390830000484129,3339.678626998648,0.25823299984040204,3340.8759429985366,no_grad
0.9978719990613172,3343.927154000994,0.24148099873855244,3345.166506998794,no_grad
0.9198080006171949,3259.821509000176,0.2816339983837679,3261.022950999177,no_grad
0.9267610003007576,3289.956771999641,0.25608900068618823,3291.139622000628,no_grad
0.9157149997918168,3341.873018000115,0.26016000083473045,3343.0488930007414,no_grad
0.91036800040456,3337.2256589991594,0.2559730000939453,3338.391999999658,no_grad
0.9336109997093445,3342.395297000621,0.26870399960898794,3343.5976119999395,no_grad
0.9151220001513138,3290.0901709999744,0.2525470008549746,3291.2578400009807,no_grad
