variant,energy_j,tokens,seconds,j_per_token,avg_power_w
direct,12220.106,7680,179.949941,1.5911596354166666,67.90836347092772
direct_no_grad,13353.428,7680,199.804475,1.7387276041666666,66.83247710042531
pipeline,13305.572,7731,199.326286,1.7210673910231535,66.75272121410018
