dtype,hidden,rows,eager_us,compile_us,triton_us,triton_num_warps,min_bytes,eager_gbps,compile_gbps,triton_gbps,speedup_vs_eager,speedup_vs_compile,eager_kernels,compile_kernels,triton_kernels,triton_max_abs_err,eager_max_abs_err,triton_pct_peak
fp16,1024,1,135.16800105571747,101.3759970664978,76.80000364780426,4,6144,0.04545454509952683,0.0606060623598092,0.07999999620020408,1.7599999301508102,1.3199998991067259,8,1,1,0.0017116069793701172,0.0017116069793701172,0.0051446942894021915
fp16,1024,8,182.68799781799316,129.69599664211273,91.42400324344635,2,34816,0.1905762853380559,0.26844313549686794,0.380819027441743,1.9982498177368861,1.4186208439894572,8,1,1,0.0029010772705078125,0.0029010772705078125,0.02448996961040148
fp16,1024,64,181.2800019979477,135.66400110721588,89.83999863266945,8,264192,1.4573697985892065,1.9473994415895775,2.9406946128773552,2.017809491951917,1.5100623683433916,8,1,1,0.0047702789306640625,0.0047702789306640625,0.18911219375417077
fp16,1024,512,182.73600190877914,128.7040039896965,88.44800293445587,4,2099200,11.487610421989586,16.310292880772014,23.733718460049413,2.066027449417881,1.4551374787407265,8,1,1,0.006115913391113281,0.006115913391113281,1.5262841453407983
fp16,1024,4096,183.24799835681915,126.14399939775467,88.56000006198883,8,16779264,91.56587875698123,133.0167434052251,189.46775054488614,2.069196005290787,1.4243902361049954,8,1,1,0.006749153137207031,0.006749153137207031,12.184421256905862
fp16,1024,16384,584.8160088062286,139.6000012755394,106.1599999666214,2,67110912,114.75560003391826,480.7371875845328,632.1675962801513,5.508816964865347,1.3149962445311993,8,1,1,0.007076263427734375,0.007076263427734375,40.653864712549925
fp16,2048,1,183.96800011396408,137.68000155687332,91.024000197649,4,12288,0.06679422504124553,0.08925043478390746,0.13499736303961488,2.0210933348841733,1.5125681277236305,8,1,1,0.0030765533447265625,0.0030765533447265625,0.008681502446277484
fp16,2048,8,184.80000644922256,138.7839987874031,89.9679996073246,2,69632,0.37679652364694455,0.5017293103556274,0.7739640794940053,2.054063747730336,1.5425929151825248,8,1,1,0.004223823547363281,0.004223823547363281,0.0497726096137624
fp16,2048,64,182.3519989848137,131.74399733543396,88.95999938249588,16,528384,2.89760464892959,4.0106874748507835,5.939568386552472,2.049820146701732,1.480935232125872,8,1,1,0.0053462982177734375,0.0053462982177734375,0.3819658126400304
fp16,2048,512,180.03199994564056,132.1919932961464,87.72799745202065,16,4198400,23.320298620621212,31.759866050241264,47.85701397431475,2.0521612845899275,1.5068392888877187,8,1,1,0.00655364990234375,0.00655364990234375,3.077621477447894
fp16,2048,4096,315.96800684928894,146.91199362277985,89.13600072264671,1,33558528,106.20862641959448,228.42606088490578,376.4868036251688,3.5447855444226946,1.648177980072355,8,1,1,0.007293701171875,0.007293701171875,24.211370008049443
fp16,2048,16384,1029.6960473060608,259.64799523353577,147.20000326633453,8,134221824,130.35091700231095,516.9376481388834,911.8330232448934,6.995217557454756,1.7639129719565618,8,1,1,0.008298873901367188,0.008298873901367188,58.63877962989668
