t_rel_s,power_w,gpu_util_pct,mem_util_pct,mem_used_mb
0.0003136809998522949,66.359,45,39,2994.1875
0.20454088599990428,63.789,49,41,2994.1875
0.4122956799999429,63.829,46,40,2994.1875
0.6164276169999994,65.983,46,41,2994.1875
0.8208995809998214,65.77,47,41,2994.1875
1.0272073019998516,66.024,47,41,2994.1875
1.233569602999978,66.685,43,38,2994.1875
1.4379815699999199,65.28,46,40,2994.1875
1.642532435999783,65.28,47,41,2994.1875
1.8464887809998345,65.378,47,41,2994.1875
2.0505522049998035,63.26,47,41,2994.1875
2.255102094999984,67.871,43,38,2994.1875
2.4600030939998305,67.478,46,40,2994.1875
2.6644235609999214,66.669,48,41,2994.1875
2.869522426000003,65.712,44,38,2994.1875
3.0737123879998762,64.162,44,38,2994.1875
3.2785236509998867,65.574,44,38,2994.1875
3.483092971999895,65.851,48,41,2994.1875
3.687460744999953,64.986,48,41,2994.1875
3.891857276999872,67.282,47,41,2994.1875
4.0964263930000016,63.907,42,36,2994.1875
4.30072237599984,53.15,52,43,2994.1875
4.505194351,64.319,47,41,2994.1875
4.709565831999953,66.277,47,41,2994.1875
4.913849740999922,58.334,42,36,2994.1875
5.117931380999835,64.731,41,36,2994.1875
5.324198739999929,52.169,37,30,2994.1875
5.5363648529998954,60.881,37,32,2994.1875
5.748337596999818,60.12,38,33,2994.1875
5.961362850999876,61.517,37,32,2994.1875
6.166347499999802,55.867,36,31,2994.1875
6.373350817999835,61.704,34,29,2994.1875
6.581361230999846,57.674,32,28,2994.1875
6.788314740999795,58.193,35,30,2994.1875
6.999469535999879,55.446,36,31,2994.1875
7.208368689999816,53.349,37,31,2994.1875
7.415197517999786,54.889,36,31,2994.1875
7.623201526999992,56.233,39,33,2994.1875
7.831344981999791,51.936,36,30,2994.1875
8.038347887999862,50.922,34,28,2994.1875
8.243459108999787,48.52,31,26,2994.1875
8.455770725999855,57.639,32,27,2994.1875
8.660025671999847,64.692,51,42,2994.1875
8.864160384999877,65.909,49,42,2994.1875
9.068425126999955,66.514,48,42,2994.1875
9.274204643999838,67.06,47,41,2994.1875
9.48037734699983,67.577,44,38,2994.1875
9.684578145999922,67.606,49,42,2994.1875
9.88895777599987,66.26,49,42,2994.1875
10.094730395999932,66.71,49,42,2994.1875
10.30421017499998,61.924,52,43,2994.1875
10.516377253999963,68.165,45,39,2994.1875
10.720620618999874,66.301,47,41,2994.1875
10.924873026999876,67.998,49,42,2994.1875
11.129070468999998,67.871,47,41,2994.1875
11.33328981999989,67.102,47,41,2994.1875
11.537591309999925,52.366,48,41,2994.1875
11.74867538999979,64.967,47,40,2994.1875
11.953003596999906,66.514,46,40,2994.1875
12.15721715099994,66.007,45,40,2994.1875
12.361393751999913,65.614,46,40,2994.1875
12.566027444999918,67.773,44,38,2994.1875
12.7701159799999,67.478,48,42,2994.1875
12.976740868999968,65.538,44,38,2994.1875
13.180962278999914,65.966,46,40,2994.1875
13.385265613000001,65.142,47,41,2994.1875
13.591196650999791,69.649,43,37,2994.1875
13.796676710999918,66.571,47,41,2994.1875
14.000872589999972,66.22,47,41,2994.1875
14.205391254999995,62.218,51,42,2994.1875
14.409619915999883,63.337,45,39,2994.1875
14.613836568999886,65.851,44,38,2994.1875
14.818074571999887,67.788,47,41,2994.1875
15.02399220999996,68.165,47,41,2994.1875
15.229681470999822,65.476,45,39,2994.1875
15.433837813999844,65.695,44,38,2994.1875
15.63836410099998,67.425,44,38,2994.1875
15.842500694999899,70.029,48,42,2994.1875
16.046833185999958,66.024,47,41,2994.1875
16.25089081299984,67.282,46,40,2994.1875
16.454930388999855,68.138,47,41,2994.1875
16.65921596499993,65.69,43,37,2994.1875
16.864728744999866,67.313,48,41,2994.1875
17.068974718999925,63.868,48,41,2994.1875
17.27318732699996,67.06,47,41,2994.1875
17.477414374999853,66.571,48,41,2994.1875
17.681907535999926,69.006,48,41,2994.1875
17.887984928999913,69.061,45,39,2994.1875
18.09229487399989,65.983,49,42,2994.1875
18.297206107999955,69.355,48,41,2994.1875
18.508241764999866,55.413,44,36,2994.1875
18.715218430999812,58.621,32,28,2994.1875
