t_rel_s,power_w,gpu_util_pct,mem_util_pct,mem_used_mb
0.00022431999991567864,57.084,40,34,2994.1875
0.20642422300011276,55.48,42,35,2994.1875
0.410670828000093,56.135,42,36,2994.1875
0.6147608480000599,58.755,42,37,2994.1875
0.8187931170000411,59.023,41,36,2994.1875
1.0230115409999598,54.955,41,36,2994.1875
1.2273882790000243,56.917,36,31,2994.1875
1.4318144490000577,56.362,42,36,2994.1875
1.6373277380000673,58.728,42,36,2994.1875
1.8414704829999664,57.934,40,35,2994.1875
2.045723446000011,49.938,42,36,2994.1875
2.252226927000038,49.308,38,33,2994.1875
2.4583487960001094,50.203,27,23,2994.1875
2.6662875479999,53.742,33,28,2994.1875
2.8736132579999776,51.807,31,27,2994.1875
3.0813103899999987,53.708,33,29,2994.1875
3.287282758999936,50.066,31,27,2994.1875
3.4992104890000064,51.186,31,26,2994.1875
3.7082083719999446,51.968,30,26,2994.1875
3.919205965999936,45.145,34,28,2994.1875
4.127359263000017,43.475,34,27,2994.1875
4.33421470799999,43.3,33,27,2994.1875
4.54242156600003,45.153,36,29,2994.1875
4.750395362000063,40.933,31,25,2994.1875
4.9593978660000175,40.736,33,27,2994.1875
5.167004593999991,40.834,30,24,2994.1875
5.377399603999947,40.712,28,22,2994.1875
5.58223881899994,83.413,48,38,2994.1875
5.795753014999946,56.199,46,37,2994.1875
5.999946963999946,60.77,42,37,2994.1875
6.204165318999912,57.31,42,37,2994.1875
6.409648297000103,57.772,40,35,2994.1875
6.613866231999964,49.869,41,35,2994.1875
6.818001245999994,58.63,47,39,2994.1875
7.022321450999925,58.488,43,37,2994.1875
7.226458248999961,58.63,41,36,2994.1875
7.4307931180001106,60.857,38,34,2994.1875
7.635401126000033,57.934,41,36,2994.1875
7.841042995999942,56.494,41,35,2994.1875
8.045360927000047,57.674,42,36,2994.1875
8.249695991999943,59.811,42,36,2994.1875
8.454062312999895,58.952,40,34,2994.1875
8.658904884000094,58.362,44,38,2994.1875
8.863004586999978,59.309,41,36,2994.1875
9.067172302000017,60.255,43,37,2994.1875
9.271343018999914,59.676,43,37,2994.1875
9.47547639100003,58.398,41,35,2994.1875
9.679956432999916,58.032,37,32,2994.1875
9.88599517700004,58.46,40,34,2994.1875
10.090128376999928,59.971,42,37,2994.1875
10.294462126000099,56.362,43,37,2994.1875
10.498744400000078,58.032,43,37,2994.1875
10.70300803200007,54.757,42,36,2994.1875
10.907583413000111,58.13,42,36,2994.1875
11.111878691999891,58.586,42,36,2994.1875
11.316194007999911,55.25,42,37,2994.1875
11.520531734000087,56.328,45,38,2994.1875
11.725388007999982,58.299,38,34,2994.1875
11.930641064999918,59.149,42,37,2994.1875
12.135208820000116,58.433,42,37,2994.1875
12.365496288000031,58.72,41,36,2994.1875
12.56999101800011,58.496,40,35,2994.1875
12.775396277000027,57.471,42,36,2994.1875
12.979832926999961,56.951,46,39,2994.1875
13.184143863999907,56.199,42,37,2994.1875
13.38846205499999,58.032,42,37,2994.1875
13.592785069000001,58.916,40,35,2994.1875
13.79720316099997,57.02,40,35,2994.1875
14.001393592000113,58.854,42,37,2994.1875
14.205646263000062,58.095,42,37,2994.1875
14.409827809000035,57.997,42,37,2994.1875
14.614083784000059,51.574,40,34,2994.1875
14.818246498999997,57.217,38,33,2994.1875
15.022610230000055,58.004,31,27,2994.1875
15.227029480000056,58.004,41,35,2994.1875
15.433213991999992,48.266,38,33,2994.1875
15.639350784000044,51.905,27,23,2994.1875
15.846279761999995,57.877,30,26,2994.1875
16.053314250000085,54.102,32,28,2994.1875
16.261325097000054,84.077,34,29,2994.1875
16.469671712000036,49.899,37,31,2994.1875
16.67733109200003,46.255,30,26,2994.1875
16.883232277999923,52.984,26,22,2994.1875
17.089367376999917,46.732,32,28,2994.1875
17.29442819399992,47.521,35,29,2994.1875
17.500204336000024,45.126,33,28,2994.1875
17.70837830200003,44.212,36,30,2994.1875
17.91721221900002,44.192,33,27,2994.1875
18.122281436000094,43.424,31,25,2994.1875
18.33421131099999,43.303,32,26,2994.1875
18.542947657000013,47.071,28,23,2994.1875
18.747595690000026,47.071,32,26,2994.1875
18.955992495999908,46.818,42,34,2994.1875
19.16181656699996,52.527,45,38,2994.1875
19.3700809500001,59.381,43,37,2994.1875
19.574378357000114,58.433,42,37,2994.1875
19.778707768000004,57.702,41,35,2994.1875
19.986356835999914,58.559,41,35,2994.1875
20.19045148400005,58.193,43,37,2994.1875
20.394875146999993,58.72,44,38,2994.1875
20.598953444000017,58.88,44,38,2994.1875
20.803304617000094,59.506,43,37,2994.1875
21.035446296999908,60.316,41,35,2994.1875
21.239374175999956,58.362,43,37,2994.1875
21.443489376000116,56.755,43,37,2994.1875
21.648131450999927,55.677,47,39,2994.1875
21.854373412000086,58.299,41,35,2994.1875
22.06338234000009,58.648,40,35,2994.1875
22.27000834699993,58.193,42,37,2994.1875
22.4767718170001,51.543,41,36,2994.1875
22.683495974999914,57.089,48,40,2994.1875
22.887867223000057,58.417,39,34,2994.1875
23.094456092999962,58.889,38,33,2994.1875
23.298962764999942,57.576,42,37,2994.1875
23.503172618000008,58.06,41,36,2994.1875
23.70723910400011,59.381,43,37,2994.1875
23.911587513000086,59.443,41,36,2994.1875
24.115639529999953,59.542,40,35,2994.1875
24.320202223000024,58.728,43,38,2994.1875
24.525685938999914,57.73,42,36,2994.1875
24.73111756100002,58.39,42,37,2994.1875
24.93543140199995,58.362,40,35,2994.1875
25.13954715,57.934,40,34,2994.1875
25.344085167999992,59.676,41,35,2994.1875
25.549266004999936,59.443,43,37,2994.1875
25.753618453999934,58.228,43,37,2994.1875
25.95792656499998,59.014,41,36,2994.1875
26.162123938999912,59.149,43,37,2994.1875
26.366371297000114,61.213,39,34,2994.1875
26.570711397999958,58.72,43,37,2994.1875
26.77487496499998,59.309,43,37,2994.1875
26.979048697000053,59.48,42,36,2994.1875
27.183664833999956,57.737,43,37,2994.1875
27.38809447099993,58.264,42,35,2994.1875
27.592243306,61.644,43,38,2994.1875
27.799118286000066,59.014,41,36,2994.1875
28.00338276399998,60.255,42,36,2994.1875
28.20753469100009,59.775,39,34,2994.1875
28.411755865000032,59.309,42,37,2994.1875
28.61711302799995,50.854,35,30,2994.1875
28.827214470999934,52.625,32,26,2994.1875
29.03530638999996,49.916,33,28,2994.1875
29.242206820000092,52.66,29,25,2994.1875
29.450210209000034,54.791,33,29,2994.1875
29.658281263999925,54.495,34,30,2994.1875
29.86703174099989,53.807,25,21,2994.1875
30.073349876000066,52.72,30,26,2994.1875
30.278690847000007,41.131,30,26,2994.1875
30.488222854000014,41.699,30,25,2994.1875
30.695355271999915,43.647,29,24,2994.1875
30.90520728399997,43.523,35,29,2994.1875
31.111415809999926,41.008,36,29,2994.1875
31.32034818300008,44.732,31,25,2994.1875
31.527478875000043,42.686,29,23,2994.1875
31.734744070000033,39.133,30,24,2994.1875
31.944513212999937,46.408,31,25,2994.1875
32.149169906,51.537,47,38,2994.1875
32.35424727999998,57.182,44,37,2994.1875
32.56249543500007,57.709,40,35,2994.1875
32.76666315600005,83.01,43,37,2994.1875
32.9710538920001,58.228,46,38,2994.1875
33.175481165000065,60.426,43,38,2994.1875
33.379743956000084,58.916,42,37,2994.1875
33.58421642400003,60.193,38,33,2994.1875
33.78842607899992,55.511,41,36,2994.1875
33.992628920000016,59.604,41,35,2994.1875
34.196884473999944,56.558,41,36,2994.1875
34.401270677999946,59.469,41,36,2994.1875
34.6056758740001,58.648,41,35,2994.1875
34.810706106,60.488,38,33,2994.1875
35.015060549000054,60.292,40,35,2994.1875
35.21915263799997,62.06,41,36,2994.1875
35.42335336299993,59.971,41,36,2994.1875
35.62803050499997,59.113,39,33,2994.1875
35.83422267500009,61.176,41,35,2994.1875
36.038213004,58.523,42,36,2994.1875
36.24255571899994,61.199,43,37,2994.1875
36.44671669400009,59.371,42,36,2994.1875
36.65086522399997,61.091,39,33,2994.1875
36.85516177299996,59.371,42,36,2994.1875
37.062352464000014,59.862,41,35,2994.1875
37.26657311700001,58.818,43,37,2994.1875
37.470662081,61.213,46,38,2994.1875
37.67499514700012,56.76,38,33,2994.1875
37.88120498100011,58.782,41,35,2994.1875
38.1022089170001,43.252,13,12,2994.1875
38.31520515400007,41.699,9,8,2994.1875
38.537355559999924,42.291,9,8,2994.1875
38.7452326560001,57.709,12,10,2994.1875
38.94962831199996,60.586,34,30,2994.1875
39.154204630000095,56.037,48,40,2994.1875
39.35867856300001,60.955,43,37,2994.1875
39.5627235259999,58.979,42,37,2994.1875
39.766951142999915,57.373,42,37,2994.1875
39.973299277000024,59.96,39,34,2994.1875
40.17743206099999,56.853,42,37,2994.1875
40.381529867999916,60.316,40,34,2994.1875
40.58561525799996,59.862,43,37,2994.1875
40.78980565699999,49.446,43,37,2994.1875
40.99599037500002,60.23,36,32,2994.1875
41.20027649300005,57.408,42,36,2994.1875
41.40448523700002,59.578,41,36,2994.1875
41.60859662500002,59.469,42,36,2994.1875
41.814206729000034,58.299,42,36,2994.1875
42.022320764999904,49.515,33,29,2994.1875
42.2353714809999,58.925,30,26,2994.1875
42.45022453499996,53.871,33,28,2994.1875
42.65651343500008,53.774,35,30,2994.1875
42.867205913999896,52.429,31,27,2994.1875
43.07522788599999,56.597,29,25,2994.1875
43.282220570999925,54.463,31,26,2994.1875
43.48828138499994,53.383,32,28,2994.1875
43.69290496999997,45.315,34,28,2994.1875
43.90233695999996,45.932,34,28,2994.1875
44.10938260800003,48.717,31,26,2994.1875
44.31746064799995,65.28,40,31,2994.1875
44.52620469699991,44.337,29,24,2994.1875
44.73758619799992,40.613,30,25,2994.1875
44.9452392180001,41.501,28,23,2994.1875
45.15537703299992,46.479,26,21,2994.1875
45.35993370699998,49.338,43,35,2994.1875
45.56443466900009,54.725,46,38,2994.1875
45.76901298400003,60.758,44,37,2994.1875
45.973135777999914,59.433,42,36,2994.1875
46.177364975000046,56.43,41,36,2994.1875
46.38176603800002,60.758,45,37,2994.1875
46.58601595799996,61.447,42,37,2994.1875
46.79016412400006,61.667,41,36,2994.1875
46.99446327600003,58.684,39,34,2994.1875
47.198536074,58.13,40,35,2994.1875
47.40399229700006,59.764,39,34,2994.1875
47.608144134999975,62.075,42,37,2994.1875
47.812373277999995,59.568,43,37,2994.1875
48.016660840999975,60.979,41,35,2994.1875
48.22191865200011,56.529,42,36,2994.1875
48.42621542200004,60.157,40,35,2994.1875
48.6301179300001,60.586,42,36,2994.1875
48.834175434999906,60.783,43,37,2994.1875
49.038228549999985,59.201,42,36,2994.1875
49.24279417499997,54.692,43,37,2994.1875
49.45300635100011,48.225,44,36,2994.1875
49.657364314000006,59.837,45,38,2994.1875
49.86156461299993,59.63,43,37,2994.1875
50.0655450270001,60.316,42,37,2994.1875
50.270245567000075,61.274,42,37,2994.1875
50.474734922999914,62.317,43,38,2994.1875
50.68004558200005,61.629,43,38,2994.1875
50.88415852799994,62.196,43,38,2994.1875
51.08830618100001,60.218,42,36,2994.1875
51.29286893800008,59.041,40,35,2994.1875
51.497158162000005,63.456,42,36,2994.1875
51.70145439199996,63.14,42,37,2994.1875
51.905631389000064,61.667,43,38,2994.1875
52.10975841200002,60.537,43,37,2994.1875
52.314017811999975,53.316,40,35,2994.1875
52.51932433799993,61.69,43,37,2994.1875
52.7235386509999,62.218,43,37,2994.1875
52.927846316000114,61.027,44,38,2994.1875
53.1318310449999,62.317,44,38,2994.1875
53.33585597199999,58.916,39,34,2994.1875
53.540292162000014,62.846,41,35,2994.1875
53.744621083000084,61.335,43,37,2994.1875
53.94872942799998,51.278,47,39,2994.1875
54.15288305100012,61.41,43,37,2994.1875
54.35716309500003,62.453,43,37,2994.1875
54.56157087800011,61.545,38,33,2994.1875
54.76574372699997,60.746,40,35,2994.1875
54.97470458900011,58.166,47,38,2994.1875
55.17921632799994,50.725,37,32,2994.1875
55.38627090299997,53.905,29,25,2994.1875
55.596358478999946,56.071,30,27,2994.1875
55.803124200999946,55.969,32,28,2994.1875
56.013340637000056,55.739,34,29,2994.1875
56.22259757100005,50.891,34,30,2994.1875
56.431246023000085,54.495,30,26,2994.1875
56.641309959999944,51.708,27,24,2994.1875
56.849205441000095,45.422,31,26,2994.1875
57.056336109000085,44.285,31,25,2994.1875
57.26436988699993,43.497,35,29,2994.1875
57.47242512499997,46.775,35,29,2994.1875
57.67941225599998,39.899,36,29,2994.1875
57.89223683699993,42.093,28,23,2994.1875
58.09865885299996,41.872,30,24,2994.1875
58.31048820299998,45.449,31,25,2994.1875
58.515086051000026,47.958,46,37,2994.1875
58.71944157300004,49.013,41,34,2994.1875
58.92534556999999,52.267,45,37,2994.1875
59.12977603099989,58.711,43,37,2994.1875
59.334059660000094,62.906,44,38,2994.1875
59.53816939100011,62.687,43,37,2994.1875
59.742030617999944,55.021,37,32,2994.1875
59.946481838999944,63.611,42,36,2994.1875
60.1594321770001,61.162,39,33,2994.1875
60.36385435200009,54.823,42,35,2994.1875
60.56841880100001,56.588,44,37,2994.1875
60.77445442599992,53.346,38,33,2994.1875
60.97864756800004,61.47,42,36,2994.1875
61.182613175999904,59.63,41,36,2994.1875
61.38695330199994,61.592,42,37,2994.1875
61.59103713500008,61.508,43,38,2994.1875
61.795325456,60.992,41,36,2994.1875
61.99961796100001,55.281,44,37,2994.1875
62.20677558200009,59.826,43,37,2994.1875
62.4108530389999,62.491,43,37,2994.1875
62.6150687679999,63.474,42,37,2994.1875
62.819315308000114,59.407,41,36,2994.1875
63.023615659999905,62.649,40,35,2994.1875
63.228024667,60.23,42,36,2994.1875
63.43219693900005,60.684,42,37,2994.1875
63.63631552400011,60.807,42,36,2994.1875
63.84052848400006,53.314,41,36,2994.1875
64.04684923800005,62.022,39,34,2994.1875
64.25089048900008,61.176,42,37,2994.1875
64.45525260099998,60.476,41,36,2994.1875
64.6595752799999,62.573,42,36,2994.1875
64.86368116800008,61.274,40,35,2994.1875
65.06992206600012,53.349,39,34,2994.1875
65.27727673999993,58.693,47,39,2994.1875
65.48222006099991,59.469,42,36,2994.1875
65.68844962399999,60.182,41,36,2994.1875
65.89475458099992,59.728,40,35,2994.1875
66.09913161700001,60.218,38,33,2994.1875
66.30349692699997,61.003,41,36,2994.1875
66.50772395500007,60.868,42,37,2994.1875
66.71196700700011,63.084,42,36,2994.1875
66.91869634399995,56.956,41,35,2994.1875
67.12345641699994,61.765,38,33,2994.1875
67.32753501699995,61.848,41,35,2994.1875
67.531755879,60.807,42,37,2994.1875
67.73590197399994,61.311,41,36,2994.1875
67.9432251180001,59.604,41,35,2994.1875
68.1493637640001,62.535,42,36,2994.1875
68.35351962000004,53.054,38,33,2994.1875
68.5615031100001,58.405,29,25,2994.1875
68.76830212999994,56.494,31,27,2994.1875
68.97635004500012,55.216,33,28,2994.1875
69.1863909629999,58.952,31,27,2994.1875
69.39329343100007,57.281,34,29,2994.1875
69.59936281399996,56.888,28,24,2994.1875
69.81022856799996,53.807,29,25,2994.1875
70.01828838999995,57.477,32,28,2994.1875
70.225571404,48.508,31,26,2994.1875
70.44542940199995,47.958,37,29,2994.1875
70.6584363290001,48.352,35,29,2994.1875
70.86620645700009,45.054,36,30,2994.1875
71.07443673500006,43.548,30,25,2994.1875
71.2833579789999,41.872,30,25,2994.1875
71.49158648799994,43.475,28,23,2994.1875
71.69769083999995,47.071,39,30,2994.1875
71.902169189,50.392,45,36,2994.1875
72.10667643200009,55.938,44,37,2994.1875
72.31091612099999,52.299,43,36,2994.1875
72.51533867700005,60.39,39,34,2994.1875
72.71984269600011,60.328,41,36,2994.1875
72.92439477099992,61.26,41,36,2994.1875
73.12849454299999,61.629,42,37,2994.1875
73.33289276699998,62.12,42,37,2994.1875
73.53721392700004,61.667,40,35,2994.1875
73.74359177299993,62.339,42,36,2994.1875
73.94920836300003,61.713,41,36,2994.1875
74.15374206899992,60.611,43,37,2994.1875
74.35855675199991,61.811,40,35,2994.1875
74.56282907400009,59.531,43,37,2994.1875
74.76734224899997,62.944,41,35,2994.1875
74.97213342600003,63.848,43,37,2994.1875
75.17721823900001,55.446,40,34,2994.1875
75.38325148600006,56.922,37,32,2994.1875
75.58750040600012,62.589,43,37,2994.1875
75.79186502099992,65.378,42,36,2994.1875
75.99610141500011,63.593,43,37,2994.1875
76.20024198100009,61.494,43,37,2994.1875
76.40496606900001,54.463,44,37,2994.1875
76.60942398199995,58.193,41,36,2994.1875
76.81345207699997,61.237,40,35,2994.1875
77.01808536299995,60.476,41,36,2994.1875
77.22239867400003,62.649,40,35,2994.1875
77.42648206800004,61.984,43,38,2994.1875
77.63079481099999,60.132,40,34,2994.1875
77.83512224800006,62.241,41,36,2994.1875
78.04006872700006,60.623,48,40,2994.1875
78.24609662400007,59.041,43,37,2994.1875
78.45178080400001,61.629,42,37,2994.1875
78.65577554900005,59.899,37,33,2994.1875
78.86010512300004,62.748,41,35,2994.1875
79.06440132300008,61.984,42,37,2994.1875
79.27102631399998,62.627,42,37,2994.1875
79.47521546000007,57.246,43,38,2994.1875
79.67944555100007,62.317,39,34,2994.1875
79.8834688909999,62.142,39,34,2994.1875
80.08761551499992,61.237,44,38,2994.1875
80.29280881399995,60.28,43,37,2994.1875
80.49695236299999,62.829,43,37,2994.1875
80.70740006100004,63.789,39,34,2994.1875
80.9117720910001,61.652,41,36,2994.1875
81.12350261999995,62.453,47,39,2994.1875
81.32775236199996,60.684,43,37,2994.1875
81.5330275199999,54.758,42,37,2994.1875
