config,n_queries,p50_total_ms,p95_total_ms,p50_toks_per_sec,mean_power_w_overall,p50_energy_j_per_query,p95_energy_j_per_query,p50_energy_j_per_token
baseline_pipeline,30,3274.4249060000357,5508.967051750016,33.6156741607184,57.06926257674856,191.53109740224724,296.9138990179257,1.7953002401442113
optimized_direct,30,2763.823451500002,4951.393188050008,38.33592030521088,64.86722263216832,185.34555112398505,312.4580530829922,1.7553982568964204
