config,max_new_tokens,do_sample,p50_total_ms,p95_total_ms,p50_gen_ms,p95_gen_ms,p50_toks_per_sec,p95_toks_per_sec,mean_retrieval_ms,mean_rerank_ms
det_96,96,False,1685.9708845000796,3248.7748534001066,1668.836912500069,3229.244048949965,36.13182342997985,37.45599231621591,8.285625600008947,12.292607633344232
det_160,160,False,1649.4516834998194,5258.662670699891,1633.6296824998726,5242.154488249935,36.221989851570825,37.55743556532843,7.0218935666237785,10.326896899982785
det_256,256,False,1776.5349254998455,7651.085193749623,1753.8975989998562,7631.6735428497395,35.70134232874069,37.223789399168524,7.737366600016078,11.162220133329962
samp_160,160,True,3239.314641499732,5375.675307650248,3219.435873499833,5359.795602950066,34.92702857154018,36.19290586026109,7.011303366668169,11.088392299977082
