policy,arrival_rate_rps,n,throughput_out_tok_s,goodput_req_s,ttft_ms_p50,ttft_ms_p99,tpot_ms_p50,itl_p99_ms_p99,mean_batch,energy_j_per_out_token
continuous,2.0,3,312 ± 68,1.63 ± 0.32,44.7 ± 7.6,113 ± 1.2e+02,40.2 ± 3.6,85.4 ± 17,11.8 ± 3.8,0.61 ± 0.058
continuous_chunked,2.0,3,300 ± 59,1.56 ± 0.28,370 ± 84,1.02e+03 ± 4.1e+02,53.5 ± 12,108 ± 26,14.7 ± 6,0.628 ± 0.048
continuous,4.0,3,416 ± 14,1.58 ± 0.92,87.3 ± 1.1e+02,4.94e+03 ± 4.6e+03,55.6 ± 5.5,139 ± 35,19.9 ± 2.4,0.547 ± 0.008
continuous_chunked,4.0,3,341 ± 9.3,0.852 ± 0.062,2.41e+03 ± 9.8e+02,1.1e+04 ± 2.9e+03,72.8 ± 8,153 ± 49,21 ± 2.8,0.598 ± 0.0075
continuous,8.0,3,440 ± 8,1.15 ± 0.04,1.66e+03 ± 5.6e+02,1.07e+04 ± 1.4e+03,59.5 ± 2.6,139 ± 15,22.8 ± 2.3,0.536 ± 0.0092
continuous_chunked,8.0,3,349 ± 6,0.378 ± 0.29,5.9e+03 ± 7.4e+02,1.81e+04 ± 2e+03,74.2 ± 0.73,142 ± 25,22 ± 0.41,0.593 ± 0.013
