t_s,batch,n_prefill,prefilling,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
0.06062,1,1,0,1424,34.20292500004507,26.318606000131695,1.0766919999696256,60.61020200013445,0.0,1424,0,0,90,0.9895833333333334,0
0.08714,1,0,0,0,0.0,26.479525000013382,1.1306149999654735,26.509050000186107,0.0,1425,0,0,90,0.9902777777777778,0
0.11242,1,0,0,0,0.0,25.24803599999359,1.0789449997901102,25.275595000039175,0.0,1426,0,0,90,0.9909722222222223,0
0.13763,1,0,0,0,0.0,25.17380499966748,1.0694090001379664,25.2015000000938,0.0,1427,0,0,90,0.9916666666666667,0
0.1642,1,0,0,0,0.0,26.538978000189672,1.0688100001061684,26.563792000160902,0.0,1428,0,0,90,0.9923611111111111,0
0.18994,1,0,0,0,0.0,25.704254000174842,1.085385999886057,25.732229000368534,0.0,1429,0,0,90,0.9930555555555556,0
0.21565,1,0,0,0,0.0,25.67528100007621,1.0862900003303366,25.703326999973797,0.0,1430,0,0,90,0.99375,0
0.24141,1,0,0,0,0.0,25.7165170000917,1.0799410001709475,25.743515000158368,0.0,1431,0,0,90,0.9944444444444445,0
0.26784,1,0,0,0,0.0,26.394445999812888,1.0978850000356033,26.419963000080315,0.0,1432,0,0,90,0.9951388888888889,0
0.3289,2,1,0,852,28.24242900032914,32.7653970002757,3.085021000060806,61.0618330001671,0.20272156315422196,1433,2,0,144,0.9926215277777778,0
0.41049,4,2,0,1796,48.731645999851025,32.785545000024285,2.3845900000196707,81.58023399982994,0.28817991631799167,1434,0,0,257,0.993920233463035,0
0.47142,5,1,0,915,27.456412999981694,33.402237000245805,3.148600000258739,60.91324800036091,0.3028571428571428,1435,0,0,315,0.993452380952381,0
0.50418,5,0,0,0,0.0,32.73096599968994,2.74730000001,32.762951999757206,0.3026462395543176,1436,0,0,315,0.9944444444444445,0
0.5369,5,0,0,0,0.0,32.67454699971495,2.7750459998969745,32.70733499994094,0.30243562978427274,1437,0,0,316,0.9922863924050633,0
