t_s,batch,n_prefill,prefilling,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
0.05799,1,1,0,1424,32.88415600036387,25.05457600000227,1.0208200001216028,57.98683500051993,0.0,1424,0,0,90,0.9895833333333334,0
0.08277,1,0,0,0,0.0,24.750575999860303,1.005236999844783,24.773854999693867,0.0,1425,0,0,90,0.9902777777777778,0
0.10749,1,0,0,0,0.0,24.69353700053034,0.9991420001824736,24.715710999771545,0.0,1426,0,0,90,0.9909722222222223,0
0.13224,1,0,0,0,0.0,24.720452000110527,0.9973639998861472,24.74269300000742,0.0,1427,0,0,90,0.9916666666666667,0
0.19092,2,1,0,852,26.972829999976966,31.650773999899684,2.8244300001460942,58.671332999438164,0.2016806722689075,1428,2,0,144,0.9904513888888888,0
0.27142,4,2,0,1796,48.73733600015839,31.70104299988452,2.7421940003478085,80.50743700005114,0.28656403079076276,1429,0,0,257,0.992704280155642,0
0.33037,5,1,0,915,26.558518000456388,32.32028300044476,3.554605999852356,58.92750600014551,0.3011188811188811,1430,0,0,315,0.9924603174603175,0
0.36112,5,0,0,0,0.0,30.71409099993616,2.685194000150659,30.738953999389196,0.3009084556254368,1431,0,0,315,0.993452380952381,0
0.39235,5,0,0,0,0.0,31.19497300031071,2.690084999812825,31.223603000398725,0.3006983240223464,1432,0,0,316,0.9912974683544303,0
0.42358,5,0,0,0,0.0,31.20432499963499,2.7069679999840446,31.229887999870698,0.3004884856943475,1433,0,0,316,0.9922863924050633,0
0.48557,6,1,0,891,26.654911000150605,35.27736799969716,6.447753999964334,61.98326600042492,0.3133426313342631,1434,0,0,372,0.9936155913978495,0
0.51853,6,0,0,0,0.0,32.92260300077032,4.223232000185817,32.950417999927595,0.31312427409988386,1435,0,0,372,0.9946236559139785,0
0.58164,7,1,0,564,28.17584300009912,34.87581599983969,6.321922000097402,63.09943100040982,0.3549542379625945,1436,0,0,408,0.9943321078431373,0
0.6435,8,1,0,1085,26.769925000735384,35.03842000009172,6.132122000053641,61.85456700040959,0.3409881697981907,1437,0,0,476,0.9957983193277311,0
0.67621,8,0,0,0,0.0,32.66875300050742,3.933936000066751,32.69907899993996,0.34075104311543813,1438,0,0,477,0.9947589098532494,0
0.70829,8,0,0,0,0.0,32.04252599971369,4.021263000140607,32.074794999971346,0.3405142460041696,1439,0,0,478,0.9937238493723849,0
0.74101,8,0,0,0,0.0,32.68947700053104,4.004354000244348,32.721776000471436,0.3402777777777778,1440,0,0,481,0.9885654885654885,0
0.77377,8,0,0,0,0.0,32.72078900045017,4.19872100064822,32.74650000003021,0.3400416377515614,1441,0,0,481,0.9896049896049897,0
0.80622,8,0,0,0,0.0,32.415243000286864,4.015428999991855,32.44256299967674,0.3398058252427184,1442,0,0,481,0.9906444906444907,0
0.83938,8,0,0,0,0.0,33.12870599984308,4.35059600022214,33.15815000041766,0.33957033957033955,1443,0,0,482,0.9896265560165975,0
0.87455,8,0,0,0,0.0,35.13940599987109,4.352797000137798,35.16585700072028,0.33933518005540164,1444,0,0,482,0.9906639004149378,0
0.90725,8,0,0,0,0.0,32.66468099991471,4.0346420000787475,32.690291999642795,0.3391003460207612,1445,0,0,482,0.991701244813278,0
0.93957,8,0,0,0,0.0,32.283023999298166,3.9584010000908165,32.308359000126075,0.338865836791148,1446,0,0,482,0.9927385892116183,0
0.99971,9,1,0,955,27.13861000029283,32.95047500068904,4.696098999374954,60.14222700014216,0.3387852261383706,1447,0,0,542,0.9940036900369004,0
1.03413,9,0,0,0,0.0,34.37650700016093,4.525715000454511,34.41514800033474,0.33855125844076117,1448,0,0,544,0.9913832720588235,0
1.06907,9,0,0,0,0.0,34.88932100026432,4.980360999979894,34.92446700056462,0.3383176136799325,1449,0,0,544,0.9924172794117647,0
1.10329,9,0,0,0,0.0,34.17658600028517,4.5235170000523794,34.2108159993586,0.3380842911877394,1450,0,0,544,0.9934512867647058,0
1.13735,9,0,0,0,0.0,34.02749199995014,4.492099999879429,34.06206499948894,0.33785129029787886,1451,0,0,544,0.9944852941176471,0
1.17201,9,0,0,0,0.0,34.612455999194935,4.569585999888659,34.64938899924164,0.33761861034588303,1452,0,0,545,0.9936926605504587,0
1.20682,9,0,0,0,0.0,34.77047299929836,4.529365000053076,34.80509300061385,0.33738625066911376,1453,0,0,545,0.9947247706422019,0
1.24132,9,0,0,0,0.0,34.44869299983111,4.575461000058567,34.48691500034329,0.3371542106067553,1454,0,0,546,0.9939331501831502,0
1.27511,9,0,0,0,0.0,33.74811800040334,4.5755600003758445,33.784501999434724,0.3369224894998091,1455,0,0,547,0.9931444241316271,0
1.30969,9,0,0,0,0.0,34.530930999608245,4.564236999613058,34.57145999982458,0.3366910866910867,1456,0,0,550,0.98875,0
1.34404,9,0,0,0,0.0,34.305103000406234,4.539280999779294,34.344343000157096,0.33646000152520394,1457,0,0,550,0.9897727272727272,0
1.37839,9,0,0,0,0.0,34.31011300017417,4.91660499938007,34.34431999994558,0.3362292333485749,1458,0,0,550,0.9907954545454546,0
1.41282,9,0,0,0,0.0,34.37871400001313,4.972776000613521,34.423047000018414,0.3359987815094052,1459,0,0,551,0.9900181488203267,0
1.44688,9,0,0,0,0.0,34.00821699960943,4.54643600005511,34.04536600010033,0.33576864535768647,1460,0,0,551,0.9910390199637024,0
1.48094,9,0,0,0,0.0,34.0204830008588,4.590433999510424,34.05561999989004,0.33553882424518977,1461,0,0,551,0.992059891107078,0
1.51542,9,0,0,0,0.0,34.439433999978064,4.577679999783868,34.487062000152946,0.3353093175254598,1462,0,0,551,0.9930807622504537,0
1.54953,9,0,0,0,0.0,34.05055399980483,4.575169999952777,34.078660000886885,0.33508012455380876,1463,0,0,551,0.9941016333938294,0
1.58285,9,0,0,0,0.0,33.282884000072954,4.589815000144881,33.31398000045738,0.3348512446873103,1464,0,0,553,0.9915235081374322,0
1.61603,9,0,0,0,0.0,33.153880999634566,4.486493000513292,33.18034699987038,0.33462267728479334,1465,0,0,553,0.9925406871609403,0
1.64947,9,0,0,0,0.0,33.40414600006625,4.500147999351611,33.42986799998471,0.3343944217068364,1466,0,0,553,0.9935578661844484,0
1.68303,9,0,0,0,0.0,33.52951899978507,4.494116000387294,33.55928800010588,0.33416647731576155,1467,0,0,553,0.9945750452079566,0
1.71669,9,0,0,0,0.0,33.61857200070517,4.528708000179904,33.65673600001173,0.3339388434756282,1468,0,0,554,0.9937951263537906,0
1.78048,10,1,0,1050,28.053140000338317,35.659819999636966,5.653743000038958,63.77755399989837,0.32886317222600403,1469,0,0,620,0.994858870967742,0
1.815,10,0,0,0,0.0,34.472245000870316,5.1407900000413065,34.51262399994448,0.3286394557823129,1470,0,0,621,0.9942632850241546,0
1.85057,10,0,0,0,0.0,35.523665999789955,5.411884000750433,35.558434999984456,0.32841604350781783,1471,0,0,622,0.99366961414791,0
1.88591,10,0,0,0,0.0,35.29151800012187,5.548911999539996,35.332370000105584,0.3281929347826087,1472,0,0,625,0.9899,0
1.9218,10,0,0,0,0.0,35.84709400001884,5.165485999896191,35.890004000066256,0.3279701289884589,1473,0,0,625,0.9909,0
1.95666,10,0,0,0,0.0,34.81012700012798,5.147994999788352,34.84472600030131,0.32774762550881953,1474,0,0,625,0.9919,0
1.99066,10,0,0,0,0.0,33.95753699987836,5.116904999340477,33.99422599977697,0.32752542372881355,1475,0,0,627,0.9897328548644339,0
2.02437,10,0,0,0,0.0,33.671194000817195,5.028130000027886,33.70409200033464,0.32730352303523036,1476,0,0,627,0.9907296650717703,0
2.05849,10,0,0,0,0.0,34.079774000019825,5.054108000877022,34.11305900044681,0.32708192281651993,1477,0,0,627,0.9917264752791068,0
2.09355,10,0,0,0,0.0,35.01515300013125,5.116836000524927,35.05151399986062,0.3268606224627876,1478,0,0,627,0.9927232854864434,0
2.12732,10,0,0,0,0.0,33.72462799961795,5.223981000199274,33.759046000341186,0.3266396213657877,1479,0,0,627,0.99372009569378,0
2.18995,11,1,0,1149,27.524338999683096,35.02794200085191,5.879321000065829,62.62446999971871,0.31707616707616704,1480,1,0,701,0.9922432239657631,0
2.25451,12,1,0,1258,27.27961399978085,37.20931199950428,6.593907000024046,64.5549699993353,0.3030047265361242,1481,0,0,780,0.9935096153846154,0
2.29135,12,0,0,0,0.0,36.797388999730174,6.617351999921084,36.834004999946046,0.3028002699055331,1482,0,0,780,0.9944711538461538,0
2.32801,12,0,0,0,0.0,36.60936199958087,6.251197999517899,36.64953099996637,0.302596089008766,1483,0,0,781,0.9941581306017926,0
2.36449,12,0,0,0,0.0,36.43425200061756,6.25759700051276,36.47226000066439,0.30239218328840967,1484,0,0,782,0.9938459079283888,0
2.40003,12,0,0,0,0.0,35.49872799976583,6.164334000459348,35.53420099979121,0.30218855218855223,1485,0,0,782,0.9948049872122762,0
2.47706,14,2,0,1538,38.53203000016947,38.407387000006565,7.375829000011436,77.02459600022848,0.327773505095174,1486,0,0,881,0.9931186152099887,0
2.5137,14,0,0,0,0.0,36.57966700029647,7.096192000062729,36.624934000428766,0.3275530790661927,1487,0,0,883,0.9918601359003397,0
2.55148,14,0,0,0,0.0,37.732580000010785,7.008371000665647,37.774145000184944,0.3273329493087558,1488,0,0,886,0.9894892776523702,0
2.6154,15,1,0,691,26.33336100007,37.51814099996409,7.67512499987788,63.91719500061299,0.3410342511752854,1489,0,0,930,0.9901209677419355,0
2.65519,15,0,0,0,0.0,39.72440999950777,7.909278000624909,39.75984999942739,0.3408053691275168,1490,0,0,930,0.9911290322580645,0
2.72076,16,1,0,1461,27.099063000605383,38.37976199974946,8.37531500019395,65.56132399964554,0.32054828973843064,1491,0,0,1024,0.99029541015625,0
2.75906,16,0,0,0,0.0,38.26097599994682,7.953144000566681,38.29705800035299,0.32033344504021444,1492,0,0,1024,0.99127197265625,0
2.79779,16,0,0,0,0.0,38.689707000230555,8.043585000450548,38.726839999981166,0.32011888814467515,1493,0,0,1024,0.99224853515625,0
2.8364,16,0,0,0,0.0,38.557996999770694,8.177328999408928,38.597542000388785,0.3199046184738956,1494,0,0,1024,0.99322509765625,0
2.87722,16,0,0,0,0.0,40.763099000287184,8.865597000294656,40.81766499984951,0.319690635451505,1495,0,0,1024,0.99420166015625,0
2.91582,16,0,0,0,0.0,38.54419799972675,8.369734000552853,38.58731099990109,0.3194769385026738,1496,0,0,1026,0.9932383040935673,0
2.95451,16,0,0,0,0.0,38.64914099995076,8.106504999886965,38.684707000356866,0.3192635270541082,1497,0,0,1026,0.9942129629629629,0
2.99193,16,0,0,0,0.0,37.37678099969344,7.944002999465738,37.41312399961316,0.31905040053404543,1498,0,0,1026,0.9951876218323586,0
3.03073,16,0,0,0,0.0,38.75294500085147,7.910540999546356,38.800463000370655,0.31883755837224814,1499,0,0,1027,0.9951923076923077,0
3.09873,17,1,0,1126,28.50627899988467,39.39139399972191,8.97063199954573,67.9815610001242,0.3145490196078431,1500,0,0,1100,0.9940909090909091,0
3.16735,18,1,0,931,27.778127999226854,40.7625759999064,9.634713999730593,68.60871800017776,0.3179732030498187,1501,0,0,1159,0.9946613459879207,0
3.23526,19,1,0,1513,27.015008000489615,40.78380099963397,10.287457999766048,67.90220500079158,0.3057362507392075,1513,0,0,1258,0.9924980127186009,0
3.27629,19,0,0,0,0.0,40.97669000020687,10.219229999165691,41.01890000038111,0.30553431133977615,1514,0,0,1260,0.9918650793650794,0
3.31647,19,0,0,0,0.0,40.13061000023299,9.786663000340923,40.17378699973051,0.30533263852701065,1515,0,0,1263,0.9904493269992082,0
3.40502,21,2,0,1695,47.09280099996249,41.37303300012718,10.844215999895823,88.54365200022585,0.31806759643171256,1516,0,0,1370,0.9913777372262774,0
3.47575,22,1,0,1497,27.061832000072172,43.577534000178275,11.874091999743541,70.72532199981652,0.3040091088871577,1517,0,0,1464,0.9925717213114754,0
3.54804,23,1,0,1001,27.65808099957212,44.53867200027162,12.377160999676562,72.2774229998322,0.30540757289339515,1518,0,0,1529,0.9922334859385219,0
3.61999,24,1,0,618,27.015796000341652,44.839725000201724,12.685309000517009,71.93909400029952,0.31720430107526887,1519,0,0,1569,0.9925111536010197,0
3.66429,24,0,0,0,0.0,44.254254000406945,12.306136999541195,44.296573000792705,0.3169956140350877,1520,0,0,1570,0.9928343949044586,0
3.70856,24,0,0,0,0.0,44.21819500021229,12.711817999843333,44.26450899973133,0.316787201402586,1521,0,0,1571,0.9931572246976448,0
3.75278,24,0,0,0,0.0,44.17171099976258,12.244592999195447,44.21313500006363,0.3165790626368813,1522,0,0,1571,0.9941120305537874,0
3.79833,24,0,0,0,0.0,45.491543999560236,12.672515999838652,45.53886400026386,0.3163711971985117,1523,0,0,1573,0.993801652892562,0
3.87586,25,1,0,1215,28.54068000033294,48.90014400007203,14.160284999888972,77.52519800033042,0.31162729658792654,1524,0,0,1650,0.9943939393939394,0
3.9579,27,2,0,1379,34.14293700006965,47.79371699987678,14.074945999709598,82.02766899921698,0.3289374620522162,1525,0,0,1741,0.992892016082711,0
4.00636,27,0,0,0,0.0,48.40468200018222,13.928950000263285,48.45144800037815,0.32872190670355805,1526,0,0,1743,0.9927208835341366,0
4.05454,27,0,0,0,0.0,48.12818700065691,13.663132999681693,48.18007299945748,0.32850663368017663,1527,0,0,1745,0.9925501432664756,0
4.10325,27,0,0,0,0.0,48.64562999955524,14.56343200061383,48.6919980003222,0.3282916424277681,1528,0,0,1745,0.9935171919770773,0
4.22948,28,1,0,732,27.544810000108555,98.58557500047027,60.4699610003081,126.22790000023087,0.3349761749042325,1529,0,0,1795,0.9923050139275766,0
4.2832,28,0,0,0,0.0,53.65919300038513,16.97877700007666,53.70653200043307,0.3347572362278245,1530,0,0,1798,0.9916226362625139,0
4.33658,28,0,0,0,0.0,53.32511100004922,16.09318099963275,53.37488399982249,0.3345385835588318,1531,0,0,1801,0.9909425319267073,0
4.42575,29,1,0,896,34.49817700038693,54.569214999901305,17.02069200018741,89.16055399913603,0.33710722967497975,1532,0,0,1858,0.9916576964477933,0
4.52823,31,2,0,1933,45.41048999999475,56.95858900071471,18.20468699952471,102.46670600008656,0.3389937503945458,1533,0,0,1981,0.9920494699646644,0
4.58564,31,0,0,0,0.0,57.34959599976719,17.349709999507468,57.39989900030196,0.3387727635950709,1534,0,0,1983,0.9920259707513868,0
