rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,993,155,0.0,0.03926600038539618,118.3440600002541,10221.292803000324,65.60356326623422,65.8051359998808,107.55185892984628,151.44562600016798,0
1,1366,216,0.0771,10.01865996890583,398.2744779687399,14813.445724968957,67.0473081255824,64.40313900020556,145.3299574201258,158.5159559999738,0
2,539,255,1.421,7.656753816648099,152.11725581677715,19498.835392816927,76.16818164173287,74.23340449986426,132.3789199903012,158.5159559999738,0
3,1414,230,1.5126,31.57401059205256,390.93652059180783,17656.093933591805,75.39370049344977,71.23025500004587,141.37264924023836,158.5159559999738,0
4,580,170,1.5414,2.7398578154265163,511.25686181514027,12826.838344815327,72.87326321301886,66.88217999999324,153.67475560018642,158.5159559999738,0
5,1086,186,1.9914,31.22965340120598,399.24051240135697,14038.868258401219,73.7277175459452,69.11459599996306,152.5601908001772,158.5159559999738,0
6,1015,175,2.116,56.686105937719944,551.4381139376976,13375.851494937584,73.70352517816026,69.08469049994892,153.32645410018367,158.5159559999738,0
7,695,142,2.2539,44.36020173160227,565.7072037319138,10887.214352731813,73.20217836170141,68.38605000029929,133.97228720004907,158.5159559999738,0
8,954,193,2.2613,36.939997241182354,838.6784282412858,15281.622352241078,75.22366627083225,71.6818345001684,152.0725687001732,158.5159559999738,0
9,723,183,2.4523,60.841083760683645,865.9426517605109,14460.816666760698,74.6971099725285,70.80969699973139,152.76917170017893,158.5159559999738,0
10,855,140,2.7127,13.714723173785082,826.3530731740553,10971.256686173823,72.98491807913501,69.05478499993478,134.84595414005545,158.5159559999738,0
11,1374,226,2.7703,19.506021336483492,1183.2085683364405,18683.621067336488,77.77961110666686,77.0755549997375,156.73980880021185,164.07693600012863,0
12,1389,254,3.1896,34.39672520761228,1109.5162342077724,21200.603590207436,79.41141247430697,82.10929200004102,154.78932040019566,164.07693600012863,0
13,1438,246,3.2418,46.71893378414271,1477.1128477841212,20972.244385784015,79.57196546122405,82.5575070002742,155.34660280020037,164.07693600012863,0
14,1355,251,3.4384,5.761044024930051,1640.7878450250246,21672.559770025182,80.12708770000063,83.89504450019558,154.9983013001974,164.07693600012863,0
15,876,149,3.4706,37.804912561935744,1843.2590995620587,12903.292987561965,74.72995870270206,72.99835549997624,155.1376219001986,158.5159559999738,0
16,948,205,3.7013,27.417951130315643,1907.3905161299774,17930.047409130184,78.54243575000102,81.4546184997198,158.20267510022404,164.07693600012863,0
17,1450,159,3.8169,41.40170342922378,2235.2583834291772,14398.912220429032,76.9851508670877,76.79689149972546,154.4410189001929,158.5159559999738,0
18,1321,146,3.9891,26.50659445073522,2443.8956284505603,13466.792530450972,76.0199786344856,75.99072499988324,155.34660280020037,158.5159559999738,0
19,769,134,4.6513,37.70776984381374,2017.8383878440168,11975.969147844147,74.87316360902354,75.53440900028363,156.18252640020734,158.5159559999738,0
20,602,211,4.9299,51.84539618390893,1907.0148941840318,18612.1783161842,79.54839724761985,83.72969449987977,157.78471330022055,164.07693600012863,0
21,1087,204,5.1546,61.39312952046705,1994.1117375204262,18096.20902152011,79.3206762758605,83.63771599988468,158.27233540022453,164.07693600012863,0
22,1003,158,5.8646,18.59116104361469,1608.426333043381,13652.9254160435,76.71655466879056,80.80209900026603,154.51067920019338,158.5159559999738,0
23,766,202,6.3723,30.19114460627037,1353.5946776059618,17371.917102605912,79.69314639303458,84.24264299992501,158.41165600022578,164.07693600012863,0
24,1166,236,6.6638,73.25359344092419,1465.981138440995,20042.29678944118,79.04815170638378,84.28266600003553,156.0432058002061,164.07693600012863,0
25,1071,149,6.746,60.6439322776291,1716.2317182776983,13059.86259627781,76.64615458108183,81.51151099991694,155.1376219001986,158.5159559999738,0
26,940,156,7.1046,13.427887261337368,1770.622623261084,13643.591154261052,76.59979697419334,81.86459300031856,135.2235446203307,158.5159559999738,0
27,620,242,7.1441,76.63157735384019,1920.1161733538931,20681.86478335416,77.84957929460693,84.28266600003553,142.344356000194,164.07693600012863,0
28,708,162,9.2498,26.443594825114047,215.50461082498273,12862.562643825104,78.5531554844728,84.28266600003553,158.453376000125,164.07693600012863,0
29,865,227,9.3088,44.49988010886585,508.49535410892344,18237.050695108643,78.4449351371669,84.77754350019495,148.36959350020607,164.07693600012863,0
