rid,prompt_tokens,output_tokens,arrival_s,queue_ms,ttft_ms,e2e_ms,tpot_ms,itl_p50_ms,itl_p99_ms,itl_max_ms,preemptions
0,235,51,0.0,290.7805050017487,335.43549200112466,1638.0297760006215,26.051885679989937,26.070372499816585,26.78986543109204,26.891096000326797,0
1,201,111,0.0637,227.05568616013213,271.71067315950813,3118.0240471601096,25.875576127278194,25.847952500043903,26.67300883160351,26.891096000326797,0
2,239,60,0.065,225.81776974831618,270.4727567476922,1804.4025977476094,25.998810864405378,26.006709998910083,26.771272061232594,26.891096000326797,0
3,115,68,0.0651,225.6759368307394,270.33092383011535,2009.8328548289285,25.962715388041985,25.930247000360396,26.75474462135753,26.891096000326797,0
4,98,90,0.0995,191.2795072907989,235.93449429017488,2542.1538972891517,25.912577561786257,25.888536998536438,26.70929416170111,26.891096000326797,0
5,146,122,0.2014,89.40823012464982,134.0632171240258,3264.0093161252707,25.867323132241694,25.850628000625875,26.65896040125517,26.891096000326797,0
6,207,63,0.2435,47.30929558294783,91.9642825823238,1703.4303785834188,25.99138864517895,26.004081999417394,26.765074271279445,26.891096000326797,0
7,228,113,0.2907,0.10296071886090052,44.75794771823688,2943.5203087192276,25.881806794651705,25.851657999737654,26.670454571540176,26.891096000326797,0
8,174,74,0.4667,2998.9099480264545,3040.947877027253,4929.502982027958,25.870617876721983,25.77841699894634,27.035389038355788,27.552272000320954,0
9,98,89,0.8453,2620.300380498794,2662.3383094995925,4946.448466500716,25.95579723864913,25.824082500548684,27.61239791027037,28.014778999931877,0
10,173,38,1.0507,2414.8986143804345,2456.936543381233,3408.5419663819616,25.719065486506175,25.710195001011016,27.065931079996517,27.552272000320954,0
11,135,68,1.0508,2414.8181299845082,2456.856058985307,4186.364459985511,25.81355822388364,25.728960001288215,26.95430870051496,27.552272000320954,0
12,82,127,1.1926,2272.9997134678265,2315.037642468625,5600.0460384688195,26.07149520635075,26.098943997567403,27.42522399967129,28.014778999931877,0
13,253,33,1.1972,2268.468608160333,2310.5065371611317,3134.6558221604255,25.75466515622793,25.723904500409844,27.133478430041578,27.552272000320954,0
14,225,108,1.264,2201.631089274876,2243.6690182756747,5027.282158275618,26.015076074765823,25.885641000058968,27.521780480165035,28.014778999931877,0
15,251,45,1.3171,2148.5727749283424,2190.610703929141,3322.0395629292934,25.714292250003464,25.708324999868637,26.971364789933432,27.552272000320954,0
16,198,71,1.5139,5279.067885132709,5316.3380871322,7154.669075133162,26.2618712571566,26.099553499079775,30.37062995896123,35.01440999752958,0
17,182,77,1.5361,5256.942257495632,5294.212459495122,7287.978544496093,26.23376427632856,26.094534498042776,29.966822999085707,35.01440999752958,0
18,211,90,1.5553,5237.74781126886,5275.01801326835,7606.572161268928,26.19723761798402,26.0835560002306,29.091907919355467,35.01440999752958,0
19,135,42,1.6485,5144.484097948483,5181.754299947974,6266.424922948394,26.455381048790734,26.17444900170085,32.32236359835952,35.01440999752958,0
20,174,85,1.6508,5142.171335524377,5179.441537523868,7381.385239522839,26.21361549998775,26.087758498761104,29.428413719251704,35.01440999752958,0
21,223,66,1.6593,5133.713159760802,5170.983361760293,6879.788248759425,26.28930595383281,26.11749399875407,30.707135758857472,35.01440999752958,0
22,207,77,1.7237,5069.325778095025,5106.595980094516,7100.362065095486,26.23376427632856,26.094534498042776,29.966822999085707,35.01440999752958,0
23,156,48,1.7721,5020.9165144717,5058.18671647119,6299.328460472842,26.407271148971322,26.169143999140942,31.918556638484,35.01440999752958,0
24,249,106,1.8807,7281.392479592608,7323.311962595465,10056.507692592997,26.030435523786018,26.044633999845246,26.816698196926154,27.148196000780445,0
25,78,64,1.9065,7255.538099227939,7297.457582230796,8939.124446228467,26.058204190439216,26.04700300071272,26.94834705827816,27.148196000780445,0
26,225,99,1.9346,7227.524926518681,7269.444409521539,9819.955297520364,26.025621306110466,26.039322001452092,26.83552910686558,27.148196000780445,0
27,197,35,2.0503,7111.769154457413,7153.68863746027,8041.673167460082,26.11719205881801,26.101870998900267,27.041824789448583,27.148196000780445,0
28,112,112,2.1581,7003.943303824724,7045.862786827582,9934.94776282672,26.02779257656881,26.044633999845246,26.802956997198635,27.148196000780445,0
29,129,53,2.1784,6983.727099227812,7025.646582230669,8381.777612229902,26.07944288460063,26.060315998620354,26.983804128722113,27.148196000780445,0
30,134,39,2.1915,6970.554510422918,7012.473993425775,8004.682235423789,26.11074321047406,26.101870998900267,27.028931309287145,27.148196000780445,0
31,229,77,2.268,6894.098637937358,6936.018120940215,8915.123530938952,26.040860657878117,26.039322001452092,26.906443247753487,27.148196000780445,0
32,94,61,2.3016,9791.731986235158,9822.223570233968,11377.495635235158,25.92120108335318,25.959812501241686,26.488105320822797,26.547785000730073,0
33,88,55,2.355,9738.314167877823,9768.805751876633,11169.119239877025,25.93173125926653,25.959812501241686,26.494174440813367,26.547785000730073,0
34,100,45,2.4206,9672.76902973596,9703.26061373477,10844.854985733278,25.945326636329728,25.978662499255734,26.50428964079765,26.547785000730073,0
35,110,56,2.4976,9595.758364492349,9626.249948491159,11052.72321549287,25.935877581849294,25.96308000283898,26.49316292081494,26.547785000730073,0
36,189,63,2.6806,9412.747782410284,9443.239366409094,11050.44827641074,25.922724354865252,25.959812501241686,26.48608228082594,26.547785000730073,0
37,129,59,2.6902,9403.142234998524,9433.633818997334,10937.8687669964,25.935085310328727,25.963461001083488,26.490128360819654,26.547785000730073,0
38,161,85,2.7818,9311.52942779941,9342.02101179822,11518.753943797361,25.913487285704054,25.961520503187785,26.463828840860515,26.547785000730073,0
39,123,128,2.8521,9241.264582232583,9271.756166231393,12564.12467923223,25.924161519691637,25.963841999327997,26.456102039010148,26.547785000730073,0
40,143,120,2.9707,12445.823997085508,12487.943392084244,15575.180476084906,25.94316877311481,25.97957900070469,26.533917759225005,28.080239000701113,0
41,185,72,3.0082,12408.386998701371,12450.506393700107,14289.154701703137,25.8964550422962,25.95355300218216,26.293931700638495,26.30718200089177,0
42,112,64,3.0375,12379.094207181379,12421.213602180114,14053.273400181251,25.905711079383128,25.969939000788145,26.29544602066744,26.30718200089177,0
43,141,101,3.0885,12328.02499990153,12370.144394900266,14961.764960903523,25.916205660032574,25.94451000004483,26.324912570889875,28.080239000701113,0
44,208,61,3.1051,12311.49567000441,12353.615065003145,13907.140870003535,25.892096750006505,25.95571650272177,26.296013890678296,26.30718200089177,0
45,121,101,3.1517,12264.881764441583,12307.001159440319,14898.621725443576,25.916205660032574,25.94451000004483,26.324912570889875,28.080239000701113,0
46,256,87,3.1583,12258.25288594292,12300.372280941656,14529.056358945081,25.914931139574716,25.93676949982182,26.573140550863183,28.080239000701113,0
47,77,111,3.2612,12155.318673838525,12197.43806883726,15049.627918837547,25.928998636366238,25.958089501727954,26.531188509397907,28.080239000701113,0
48,175,111,3.4037,15142.538209365226,15182.036008365172,18080.03892536675,26.3454810636507,26.305014500394464,27.919029637632775,28.21926300021005,0
49,198,103,3.4382,15108.031804706607,15147.529603706553,17836.881353705885,26.366193627444435,26.329589001761633,27.921341957335244,28.21926300021005,0
50,154,34,3.6359,14910.361120162202,14949.858919162149,15818.539980163701,26.323668515198566,26.32524599903263,27.039479041704908,27.042592002544552,0
51,137,36,3.6426,14903.629705696656,14943.127504696602,15866.752209695986,26.38927728569667,26.34999500151025,27.819194861003776,28.21926300021005,0
52,152,123,3.6601,14886.15828127631,14925.656080276256,18139.35245027578,26.341773524586255,26.301500000045053,27.915561158079072,28.21926300021005,0
53,235,124,3.6786,14867.580238586785,14907.07803758673,18147.140625586733,26.34197226016262,26.304134000383783,27.915272118116263,28.21926300021005,0
54,159,116,3.7264,14819.85793002875,14859.355729028695,17889.34591602717,26.34774075650848,26.304134000383783,27.917584437818732,28.21926300021005,0
55,83,39,3.7848,14761.373851247541,14800.871650247487,15806.903324249348,26.47451773689107,26.401284500025213,28.10913915913261,28.21926300021005,0
56,255,109,3.8183,18007.743303574724,18049.206954574227,20868.085686573802,26.10072899999607,26.10275000006368,26.80308219143626,26.851895003346726,0
57,180,36,3.8261,17999.958676443333,18041.422327442837,18955.38067144384,26.113095542885794,26.151688001846196,26.727894100622507,26.817802001460223,0
58,192,34,3.951,17875.08421665772,17916.547867657224,18778.013828656563,26.105029121192107,26.12677900106064,26.733182800671784,26.817802001460223,0
59,211,112,3.9821,17843.992721941577,17885.45637294108,20783.660054939064,26.10994308106292,26.12067700101761,26.79677370142599,26.851895003346726,0
60,129,65,3.9892,17836.894602275293,17878.358253274797,19548.640928275432,26.098166796884925,26.1272245006694,26.651207949907985,26.817802001460223,0
61,180,118,4.0374,17788.692325554184,17830.155976553688,20885.044904553542,26.110161777776536,26.124280000658473,26.784156721405452,26.851895003346726,0
62,71,42,4.0559,17770.161097892833,17811.624748892336,18881.32781389313,26.090318658555965,26.12067700101761,26.712028000474675,26.817802001460223,0
63,79,63,4.0819,17744.165965072967,17785.62961607247,19404.110099073365,26.104523919369264,26.13568450033199,26.656496649957262,26.817802001460223,0
