t_s,batch,n_prefill,padding_waste,wasted_decode_tokens
2.1740001102443784e-05,1,1,0.0,0
2.039323159002379,1,1,0.0,0
4.408635265001067,1,1,0.0,0
5.6811044400019455,1,1,0.0,0
7.108154781002668,1,1,0.0,0
9.029057588002615,1,1,0.0,0
11.687559661000705,1,1,0.0,0
13.056085745000019,1,1,0.0,0
15.514390238000487,1,1,0.0,0
27.050867715002823,1,1,0.0,0
33.6238301730009,1,1,0.0,0
34.438953860000765,1,1,0.0,0
38.164488362002885,1,1,0.0,0
40.90740484100024,1,1,0.0,0
41.61026176100131,1,1,0.0,0
43.95633882200127,1,1,0.0,0
48.445976193001115,1,1,0.0,0
50.00122960600129,1,1,0.0,0
51.66398794700217,1,1,0.0,0
53.587006853002094,1,1,0.0,0
54.47187334400223,1,1,0.0,0
56.249890205002885,1,1,0.0,0
57.636403989003156,1,1,0.0,0
59.24173056700238,1,1,0.0,0
60.2403516480008,1,1,0.0,0
62.52202812300311,1,1,0.0,0
63.9052283380006,1,1,0.0,0
66.03829523500099,1,1,0.0,0
69.0605917990033,1,1,0.0,0
71.43374509200294,1,1,0.0,0
72.56314257000122,1,1,0.0,0
73.39689949600142,1,1,0.0,0
75.05256264700074,1,1,0.0,0
76.34650377700018,1,1,0.0,0
77.52337801000249,1,1,0.0,0
79.92340400000103,1,1,0.0,0
85.77978927799995,1,1,0.0,0
87.10434390700175,1,1,0.0,0
89.01868279300106,1,1,0.0,0
91.26719753300131,1,1,0.0,0
95.06328587100143,1,1,0.0,0
97.59568272300021,1,1,0.0,0
99.12807687100212,1,1,0.0,0
100.48683841000093,1,1,0.0,0
102.62847256200257,1,1,0.0,0
103.9159814170016,1,1,0.0,0
106.02522467600284,1,1,0.0,0
107.89161095300005,1,1,0.0,0
110.25277099900268,1,1,0.0,0
112.62287192400254,1,1,0.0,0
116.34764951300167,1,1,0.0,0
117.07309177900243,1,1,0.0,0
117.84309757700248,1,1,0.0,0
120.41784491900034,1,1,0.0,0
123.08403212400299,1,1,0.0,0
125.53163492000022,1,1,0.0,0
126.36697435899987,1,1,0.0,0
128.7331938970019,1,1,0.0,0
129.50636830000076,1,1,0.0,0
130.23315185899992,1,1,0.0,0
132.62952885500272,1,1,0.0,0
134.013021605002,1,1,0.0,0
136.52425829300046,1,1,0.0,0
137.4301821879999,1,1,0.0,0
