t_s,batch,n_prefill,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
0.05034,1,1,235,26.900120999926003,23.398196000925964,0.5665420030709356,50.336167001660215,0.0,235,0,0,15,0.9833333333333333,0
0.07369,1,0,0,0.0,23.32418199875974,0.5573150010604877,23.346857000433374,0.0,236,0,0,15,0.9875,0
0.13326,4,3,555,31.236204999004258,28.282214003411354,0.7548749999841675,59.56595899988315,0.17154811715481166,239,0,0,51,0.9754901960784313,0
0.1881,5,1,98,24.06454399897484,30.701318002684275,1.1938430034206249,54.82547199790133,0.255,240,0,0,59,0.9523305084745762,0
0.21684,5,0,0,0.0,28.71059800236253,0.8672959993418772,28.73486399766989,0.25394190871369293,241,0,0,59,0.9576271186440678,0
0.27252,6,1,146,25.045392001629807,30.590247999498388,1.2406140012899414,55.68663599842694,0.27685950413223137,242,0,0,70,0.9428571428571428,0
0.32831,7,1,207,25.688378998893313,30.041092999454122,1.3023559986322653,55.77556100251968,0.25749559082892415,243,0,0,83,0.9563253012048193,0
0.3832,8,1,228,24.914136000006692,29.92184300092049,1.3806259994453285,54.887702000996796,0.23258196721311475,244,0,0,99,0.9507575757575758,0
0.41326,8,0,0,0.0,30.02977399955853,1.4036959983059205,30.054956001549726,0.2316326530612245,245,0,0,99,0.9558080808080808,0
0.44296,8,0,0,0.0,29.67225200336543,1.1917379997612443,29.69930600011139,0.23069105691056913,246,0,0,100,0.95125,0
0.47193,8,0,0,0.0,28.938362000189954,1.1946310005441774,28.963292999833357,0.22975708502024295,247,0,0,100,0.95625,0
0.52755,9,1,174,25.640697000198998,29.923358000814915,1.6488789988216013,55.6080110000039,0.23655913978494625,248,0,0,111,0.964527027027027,0
0.55759,9,0,0,0.0,30.015450000064448,1.6335709988197777,30.041878002521116,0.23560910307898264,249,0,0,111,0.9695945945945946,0
0.58743,9,0,0,0.0,29.805572998157004,1.3118030001351144,29.83325100285583,0.2346666666666667,250,0,0,112,0.9659598214285714,0
0.61722,9,0,0,0.0,29.760140998405404,1.3189370001782663,29.78779800105258,0.23373173970783534,251,0,0,112,0.9709821428571429,0
0.64685,9,0,0,0.0,29.593590999866137,1.3232390010671224,29.623711001477204,0.2328042328042328,252,0,0,113,0.9673672566371682,0
0.67639,9,0,0,0.0,29.504616002668627,1.2901829977636226,29.528951999964193,0.23188405797101452,253,0,0,113,0.9723451327433629,0
