t_s,batch,n_prefill,padding_waste,wasted_decode_tokens
0.5001192309973703,1,1,0.0,0
2.53933248300018,3,3,0.2259414225941423,94
5.483671111000149,1,1,0.0,0
7.369078971998533,1,1,0.0,0
9.906498000000283,2,2,0.046052631578947345,50
15.435429752000346,1,1,0.0,0
27.550933285998326,1,1,0.0,0
34.12379326399969,2,2,0.10982658959537572,30
38.66452464399845,2,2,0.3379446640316206,94
41.982805378000194,1,1,0.0,0
44.28032680999968,1,1,0.0,0
48.94597696799974,1,1,0.0,0
50.44526036000025,2,2,0.06872037914691942,13
53.25267824799812,3,3,0.20478325859491775,62
55.657790620000014,1,1,0.0,0
57.29942237499927,1,1,0.0,0
60.68221438599721,1,1,0.0,0
62.95587801799775,2,2,0.32666666666666666,35
66.11016847899737,1,1,0.0,0
69.56060551499831,1,1,0.0,0
71.92257455599974,2,2,0.018656716417910446,14
73.30960785299976,1,1,0.0,0
74.96430801699898,1,1,0.0,0
76.2585857539998,1,1,0.0,0
77.95909480800037,1,1,0.0,0
80.42342710999947,1,1,0.0,0
86.2797820199994,2,2,0.15873015873015872,4
89.51880688299934,1,1,0.0,0
91.76726914000028,1,1,0.0,0
95.56331814000077,1,1,0.0,0
98.13170880799953,2,2,0.19729729729729728,8
100.05646427600004,2,2,0.1610576923076923,40
102.76422665099744,2,2,0.263671875,14
105.39790491399981,1,1,0.0,0
109.4179675819978,1,1,0.0,0
111.79409905099965,1,1,0.0,0
116.84764713099867,2,2,0.05519480519480524,2
117.79001865799728,2,2,0.17659574468085104,1
121.03510648500014,1,1,0.0,0
123.53749540299759,3,3,0.322875816993464,143
126.9322285849994,1,1,0.0,0
127.92714456799877,2,2,0.1943127962085308,47
130.8941165389988,3,3,0.38888888888888884,131
