t_s,batch,n_prefill,padding_waste,wasted_decode_tokens
0.5001358949994028,1,1,0.0,0
1.5924456499997177,4,4,0.3169456066945606,115
4.510988038000505,4,4,0.17214912280701755,116
7.707893322000018,1,1,0.0,0
9.613927866001177,4,4,0.36462450592885376,242
12.992472642999928,5,5,0.14980079681274905,149
15.858552548001171,8,8,0.2735943775100401,261
18.69552497800032,6,6,0.3486171761280932,295
21.641473722000228,5,5,0.3481481481481481,37
23.309137977998034,2,2,0.11801242236024845,43
26.638298204998136,8,8,0.39306640625,243
29.834213706999435,7,7,0.2644376899696048,221
33.10336203800034,8,8,0.36225490196078436,389
36.228776656000264,1,1,0.0,0
