t_s,batch,n_prefill,padding_waste,wasted_decode_tokens
1.3441000191960484e-05,1,1,0.0,0
1.1085065529987332,1,1,0.0,0
3.4533562779979547,1,1,0.0,0
4.741760932000034,1,1,0.0,0
6.184763851997559,1,1,0.0,0
8.070199542999035,1,1,0.0,0
10.629038183000375,1,1,0.0,0
11.951653475000057,1,1,0.0,0
14.321417230999941,1,1,0.0,0
15.862310501997854,1,1,0.0,0
17.717789236998215,1,1,0.0,0
18.525886265997542,1,1,0.0,0
19.990621824999835,1,1,0.0,0
22.70770167400042,1,1,0.0,0
23.414954583997314,1,1,0.0,0
25.72625543599861,1,1,0.0,0
26.689039826000226,1,1,0.0,0
28.19823527599874,1,1,0.0,0
29.837101078999694,1,1,0.0,0
31.751019344999804,1,1,0.0,0
32.62258495700007,1,1,0.0,0
34.38516695999715,1,1,0.0,0
35.78395788099806,1,1,0.0,0
37.402816244997666,1,1,0.0,0
38.41129971099872,1,1,0.0,0
40.73927661199923,1,1,0.0,0
42.10146401699967,1,1,0.0,0
44.21090138799991,1,1,0.0,0
44.95226125899717,1,1,0.0,0
47.33143304400073,1,1,0.0,0
48.472338416999264,1,1,0.0,0
49.3057467969993,1,1,0.0,0
50.95630959600021,1,1,0.0,0
52.257802264997736,1,1,0.0,0
53.430616626999836,1,1,0.0,0
54.37682356299774,1,1,0.0,0
55.54897710899968,1,1,0.0,0
56.86444118699728,1,1,0.0,0
58.09601685400048,1,1,0.0,0
59.88470232200052,1,1,0.0,0
62.59293200599859,1,1,0.0,0
65.1043766369985,1,1,0.0,0
66.6117532779972,1,1,0.0,0
67.97709544299869,1,1,0.0,0
70.09282450899991,1,1,0.0,0
71.40035236399854,1,1,0.0,0
73.5515037619989,1,1,0.0,0
75.40533956699801,1,1,0.0,0
77.75556001599762,1,1,0.0,0
80.11983369099835,1,1,0.0,0
82.31792719999794,1,1,0.0,0
83.04601589899903,1,1,0.0,0
83.8143733149991,1,1,0.0,0
86.43792122399827,1,1,0.0,0
89.05159062899838,1,1,0.0,0
91.52851258299779,1,1,0.0,0
92.35260008099795,1,1,0.0,0
94.67161942299936,1,1,0.0,0
95.43767279099848,1,1,0.0,0
96.1634168849996,1,1,0.0,0
98.58086320899747,1,1,0.0,0
99.95708351299982,1,1,0.0,0
102.47482116699757,1,1,0.0,0
103.36800476799908,1,1,0.0,0
