target,kernels,dram_read_mb,dram_write_mb,dram_total_mb,kernel_time_ms,dram_gbps_over_kernel_time,dram_pct_peak_time_weighted,sm_pct_peak_time_weighted,wall_ms,gpu_busy_fraction,dram_gbps_over_wall_time,model_estimate_mb,measured_over_model,achievable_copy_gbps,pct_of_achievable_over_kernel_time
decode_qwen7b_b1_ctx2048,1423,14544.162944,262.656512,14806.819456,18.160352,815.3376903707593,52.4605669669839,18.901169351783487,30.596306999768785,0.5935471885589734,483.9413938457309,15348.673536,0.9646970092412812,1390.0,58.657387796457506
decode_tinyllama_b1_ctx1024,969,2158.5856,37.778944,2196.364544,6.218752,353.18413469454964,22.761190772682365,9.037364255722048,22.268096500056345,0.2792673365675537,98.63279261406302,2223.16544,0.987944713642184,1390.0,25.408930553564723
decode_tinyllama_b32_ctx1024,1079,4512.808704,2665.693312,7178.502016,12.4208,577.9420018034265,37.22095872729615,20.817376941903905,25.06057100004,0.4956311649874289,286.446067648999,2938.294272,2.443084780311616,1390.0,41.57856128082205
prefill_tinyllama_b8_p512,901,25068.015104,20793.856128,45861.871232,65.44448,700.7752408148098,45.08865051781296,53.751655744838985,67.03686199989534,0.9762461733382176,684.129147215626,,,1390.0,50.41548495070574
rmsnorm_compile_16384x4096,1,134.231424,116.587648,250.819072,0.18048,1389.7333333333333,89.37,25.36,0.26701849992605275,0.6759082237746881,939.3321888538098,268.443648,0.9343453416338613,1390.0,99.98081534772183
rmsnorm_eager_16384x4096,8,1342.538112,1007.673088,2350.2112,1.895616,1239.813970762011,79.7254784091293,26.545469630980115,2.0964034997632552,0.9042228751354737,1121.0681532755536,268.443648,8.754951802770911,1390.0,89.1952496951087
rmsnorm_triton_16384x4096,1,134.230912,118.231424,252.462336,0.183776,1373.7503047187881,88.35,27.05,0.25196399997184926,0.7293740376424108,1001.9778064652347,268.443648,0.9404667902590863,1390.0,98.83095717401355
rmsnorm_triton_1x2048,1,0.012416,0.0,0.012416,0.003744,3.3162393162393164,0.22,0.04,0.0689805001456989,0.054276208379063884,0.17999289616304945,0.012288,1.0104166666666667,1390.0,0.23857836807477095
