t_s,batch,n_prefill,padding_waste,wasted_decode_tokens
1.110500033973949e-05,1,1,0.0,0
1.1280965320001997,1,1,0.0,0
2.887865934000274,1,1,0.0,0
3.68906140900026,1,1,0.0,0
6.3506029380000655,1,1,0.0,0
8.782686083000044,1,1,0.0,0
10.685401717000332,1,1,0.0,0
13.194636614000046,1,1,0.0,0
14.737727736000124,1,1,0.0,0
15.992926369000088,1,1,0.0,0
16.747137554000346,1,1,0.0,0
18.64077639700008,1,1,0.0,0
20.16185842499999,1,1,0.0,0
21.58343960800039,1,1,0.0,0
23.17161268100017,1,1,0.0,0
25.747726241000237,1,1,0.0,0
28.126016667000385,1,1,0.0,0
29.116299282,1,1,0.0,0
30.830295219000163,1,1,0.0,0
31.807516280000073,1,1,0.0,0
32.982762024000294,1,1,0.0,0
34.97240909000038,1,1,0.0,0
37.56136030000016,1,1,0.0,0
38.4385158580003,1,1,0.0,0
40.4633859530004,1,1,0.0,0
41.22367152400011,1,1,0.0,0
43.78895263000004,1,1,0.0,0
45.43603273200006,1,1,0.0,0
46.12227650400018,1,1,0.0,0
48.38663581000037,1,1,0.0,0
51.018881384999986,1,1,0.0,0
53.600352216000374,1,1,0.0,0
54.929710165000415,1,1,0.0,0
56.689339660000314,1,1,0.0,0
58.03801643500037,1,1,0.0,0
60.07375455300007,1,1,0.0,0
61.24376921500016,1,1,0.0,0
62.28473142200028,1,1,0.0,0
63.140865471000325,1,1,0.0,0
65.62173230100007,1,1,0.0,0
67.15871434500013,1,1,0.0,0
68.67572746900032,1,1,0.0,0
70.33135034800034,1,1,0.0,0
72.11171768700024,1,1,0.0,0
73.4587726030004,1,1,0.0,0
74.8974750010002,1,1,0.0,0
77.6188782700001,1,1,0.0,0
79.31975926400037,1,1,0.0,0
80.6701185650004,1,1,0.0,0
82.10723525700041,1,1,0.0,0
84.01765587800037,1,1,0.0,0
86.26111619200037,1,1,0.0,0
88.99181887600025,1,1,0.0,0
91.69391485599999,1,1,0.0,0
94.02198885100006,1,1,0.0,0
95.4152225570001,1,1,0.0,0
97.25844986600032,1,1,0.0,0
99.79413488900036,1,1,0.0,0
102.2553164320002,1,1,0.0,0
103.69628074400043,1,1,0.0,0
105.77869955599999,1,1,0.0,0
107.18697410200002,1,1,0.0,0
109.3564434470004,1,1,0.0,0
110.3643760660002,1,1,0.0,0
