policy,arrival_rate_rps,n,throughput_out_tok_s,goodput_req_s,ttft_ms_p50,ttft_ms_p99,tpot_ms_p50,itl_p99_ms_p99,mean_batch,energy_j_per_out_token
serialized,1.0,3,46.3 ± 1.5,0.0398 ± 0.015,1.83e+04 ± 1.3e+04,4.33e+04 ± 1.1e+04,21.4 ± 0.099,25.3 ± 3.7,1 ± 0,1.74 ± 0.048
static,1.0,3,74.7 ± 15,0.748 ± 0.28,1.13e+03 ± 4.3e+02,3.08e+03 ± 6.2e+02,26.5 ± 0.43,30.1 ± 5,2.53 ± 0.14,1.06 ± 0.18
continuous,1.0,3,76.8 ± 16,0.975 ± 0.23,34.7 ± 1.1,63.3 ± 26,29.7 ± 0.83,55.9 ± 0.7,2.47 ± 0.25,1.01 ± 0.17
serialized,4.0,3,46.1 ± 1.8,0.0243 ± 0.012,4.39e+04 ± 6.2e+03,9.08e+04 ± 6.4e+03,21.6 ± 0.95,23.8 ± 1.5,1 ± 0,1.75 ± 0.069
static,4.0,3,178 ± 18,0.411 ± 0.045,4.36e+03 ± 1.8e+03,9.94e+03 ± 2.4e+03,26.6 ± 0.1,30.7 ± 4.8,7.11 ± 0,0.516 ± 0.038
continuous,4.0,3,265 ± 41,3.36 ± 0.59,40.5 ± 6.7,70.6 ± 27,32.9 ± 0.91,59.6 ± 1,8.5 ± 1.3,0.335 ± 0.04
serialized,16.0,3,46 ± 1.6,0.0213 ± 0.013,5.08e+04 ± 4.5e+03,1.03e+05 ± 5.8e+03,21.6 ± 0.68,25.8 ± 2.4,1 ± 0,1.76 ± 0.051
static,16.0,3,188 ± 23,0.276 ± 0.16,9.51e+03 ± 2.9e+03,2.01e+04 ± 5.6e+03,27 ± 0.66,30.2 ± 1.9,7.7 ± 1.3,0.488 ± 0.047
continuous,16.0,3,650 ± 39,8.24 ± 0.74,48.1 ± 9.2,86.6 ± 6.2,40.8 ± 4,66 ± 4,24.1 ± 2.4,0.208 ± 0.0097
