batch,mode,itl_ms,ttft_ms,decode_tok_s,j_per_tok,peak_mem_gb,capture_ms,graph_mem_mb,agree_vs_dynamic
1,dynamic,29.23808749994805,46.74844400005895,34.14523750926204,4.7238515625,15.493783552,0.0,0.0,
1,graph,14.119548499991197,52.6548709999588,67.17691138315041,3.85871875,15.501142016,35.40600300004826,0.00146484375,1.0
1,static,33.00879800002576,52.49065099997097,30.212390234359408,5.271671875,15.501142016,0.0,0.0,1.0
4,dynamic,29.891985499943985,155.11762200003432,133.04409229898303,1.34187890625,16.094916608,0.0,0.0,
4,graph,16.408171500074786,157.4055370001588,233.58269177710216,1.225056640625,16.118134784,36.36778999998569,0.00146484375,1.0
4,static,33.83764950001478,157.20020599997042,117.60508364086462,1.566380859375,16.118134784,0.0,0.0,1.0
16,dynamic,30.043541000054574,590.137089999871,530.1293245034572,0.45876416015625,18.382925824,0.0,0.0,
16,graph,25.121270999875378,596.1183659999278,623.0623118553144,0.57838671875,18.499991552,38.42176200009817,0.00146484375,0.93896484375
16,static,34.16369950002718,590.5220570000438,467.54334421431724,0.63153076171875,18.499991552,0.0,0.0,0.93896484375
32,dynamic,29.205811499991796,1170.8247330000177,1093.658900596828,0.295944091796875,21.431332864,0.0,0.0,
32,graph,35.00195099991288,1175.0849540001127,901.0720079842242,0.475178466796875,21.66623232,39.45017699993514,0.00146484375,0.928466796875
32,static,38.28078900005494,1170.462956999927,834.5777531432177,0.476687255859375,21.66623232,0.0,0.0,0.928466796875
