batch,dynamic,graph,static,static_speedup,graph_speedup
1,29.23808749994805,14.119548499991197,33.00879800002576,0.8857665007954919,2.0707522977782387
4,29.891985499943985,16.408171500074786,33.83764950001478,0.8833942647207493,1.8217743213988067
16,30.043541000054574,25.121270999875378,34.16369950002718,0.879399521706678,1.1959403248427842
32,29.205811499991796,35.00195099991288,38.28078900005494,0.7629365084389949,0.8344052450123277
