context,free_mem_gib_before,analytic_kv_only_ceiling,measured_max_batch,limited_by,measured_vs_analytic
2048,24.62640380859375,225,111,oom,0.49333333333333335
8192,24.62640380859375,56,27,oom,0.48214285714285715
