batch,context,status,step_ms,tok_s,kv_bytes_read_mb,weight_bytes_mb,kv_share,est_total_gbps,pct_peak_bw
1,2048,ok,31.42195699911099,31.82487965432238,117.440512,15231.233024,0.007651508889321652,488.46968813668275,31.41284168081561
2,2048,ok,31.411374002345838,63.67120393557562,234.881024,15231.233024,0.01518681572313723,492.3730508205395,31.663861789102217
4,2048,ok,32.97879900128464,121.29004454783771,469.762048,15231.233024,0.029919253260434372,476.09359793206505,30.616951635502573
8,2048,ok,35.30544800014468,226.59392397363763,939.524096,15231.233024,0.05810019215723648,458.0244136806799,29.45494621740707
16,2048,ok,38.38866500154836,416.78969558734747,1879.048192,15231.233024,0.10981983102901212,445.7118062144093,28.663138663306064
32,2048,ok,45.99925699949381,695.6634103970883,3758.096384,15231.233024,0.19790569236303598,412.8181767850938,26.547792719298638
64,2048,ok,67.93137900240254,942.1272015946637,7516.192768,15231.233024,0.3304194873181367,334.8588844515506,21.534333405244407
