t_s,batch,n_prefill,padding_waste,wasted_decode_tokens
1.2664000678341836e-05,1,1,0.0,0
1.527383970998926,1,1,0.0,0
4.897561060999578,1,1,0.0,0
6.6992153669998515,1,1,0.0,0
8.735853509999288,1,1,0.0,0
11.394698313997651,1,1,0.0,0
14.996317829998588,1,1,0.0,0
16.885505349000596,1,1,0.0,0
20.338289688999794,1,1,0.0,0
22.55307864199858,1,1,0.0,0
25.214090462999593,1,1,0.0,0
26.350751632999163,1,1,0.0,0
28.388106529997458,1,1,0.0,0
32.18311330699726,1,1,0.0,0
33.178159860999585,1,1,0.0,0
36.417241531999025,1,1,0.0,0
37.764397161998204,1,1,0.0,0
39.88613529699796,1,1,0.0,0
42.22438505199898,1,1,0.0,0
44.933535020998534,1,1,0.0,0
46.16725771200072,1,1,0.0,0
48.68884008099849,1,1,0.0,0
50.650763783,1,1,0.0,0
52.943303972999274,1,1,0.0,0
54.38014750699949,1,1,0.0,0
57.557305033999,1,1,0.0,0
59.4606636919998,1,1,0.0,0
62.437659690000146,1,1,0.0,0
63.49497911800063,1,1,0.0,0
66.87517203199968,1,1,0.0,0
68.46000622399879,1,1,0.0,0
69.62662531100068,1,1,0.0,0
71.92674545099726,1,1,0.0,0
73.73825071899773,1,1,0.0,0
75.38940585999808,1,1,0.0,0
76.76052772899857,1,1,0.0,0
78.4544162179991,1,1,0.0,0
80.35149023899794,1,1,0.0,0
82.12468436999916,1,1,0.0,0
84.67916481899738,1,1,0.0,0
88.57737672000076,1,1,0.0,0
92.18136772800062,1,1,0.0,0
94.353131423999,1,1,0.0,0
96.2754968909976,1,1,0.0,0
99.30640205199961,1,1,0.0,0
101.1392827109994,1,1,0.0,0
104.20297484099865,1,1,0.0,0
106.83541730399884,1,1,0.0,0
110.13699714500035,1,1,0.0,0
113.46525228599785,1,1,0.0,0
116.5734227239991,1,1,0.0,0
117.59814100199947,1,1,0.0,0
118.6793702219984,1,1,0.0,0
122.35972184999991,1,1,0.0,0
126.09512553499735,1,1,0.0,0
129.59881391899762,1,1,0.0,0
130.75943878500038,1,1,0.0,0
134.08131923199835,1,1,0.0,0
135.1714466329977,1,1,0.0,0
136.19043958999828,1,1,0.0,0
139.5493853629996,1,1,0.0,0
141.5029958399973,1,1,0.0,0
145.04118022499824,1,1,0.0,0
146.28938697500053,1,1,0.0,0
