t_s,batch,n_prefill,padding_waste,wasted_decode_tokens
0.5001212079987454,1,1,0.0,0
2.0394267099982244,4,4,0.3169456066945606,115
5.902031337998778,3,3,0.15058479532163738,68
10.030437817000347,1,1,0.0,0
14.025559965000866,1,1,0.0,0
17.311946682999405,2,2,0.10982658959537572,30
19.628550785000698,2,2,0.3379446640316206,94
23.959921301000577,2,2,0.05179282868525892,63
27.660476113000186,7,7,0.14798206278026904,122
30.856463304997305,3,3,0.35341365461847385,100
34.46710588199858,2,2,0.06222222222222218,64
37.8331000420003,6,6,0.4279475982532751,275
41.80465755199839,2,2,0.045454545454545414,11
43.71819864899953,2,2,0.15873015873015872,4
45.88462218899804,2,2,0.11801242236024845,43
50.172242458000255,5,5,0.24134615384615388,182
54.296751194000535,3,3,0.40885416666666663,34
58.07612434700059,2,2,0.058080808080808066,8
61.85067794299903,8,8,0.3357843137254902,375
66.22704601700025,6,6,0.31911532385466035,274
