t_s,batch,n_prefill,padding_waste,wasted_decode_tokens
1.6037996829254553e-05,1,1,0.0,0
2.0393424819994834,1,1,0.0,0
5.3022030259999156,1,1,0.0,0
7.069811351997487,1,1,0.0,0
9.069009304999781,1,1,0.0,0
11.737368829999468,1,1,0.0,0
15.359997779996775,1,1,0.0,0
17.213970552998944,1,1,0.0,0
20.583030693000183,1,1,0.0,0
27.05086000299707,1,1,0.0,0
33.62377119099983,1,1,0.0,0
34.78439355199953,1,1,0.0,0
38.16453761899902,1,1,0.0,0
41.96254077199774,1,1,0.0,0
42.954443670998444,1,1,0.0,0
46.21000759599701,1,1,0.0,0
48.44593695199728,1,1,0.0,0
50.582652424000116,1,1,0.0,0
52.89921574699838,1,1,0.0,0
55.58582337899861,1,1,0.0,0
56.83779048699944,1,1,0.0,0
59.37754454199967,1,1,0.0,0
61.36551012899872,1,1,0.0,0
63.66962865899768,1,1,0.0,0
65.10468696199678,1,1,0.0,0
68.26917314699676,1,1,0.0,0
70.17872152499694,1,1,0.0,0
73.1684863019982,1,1,0.0,0
74.2227629959998,1,1,0.0,0
77.57238732999758,1,1,0.0,0
79.16556480899817,1,1,0.0,0
80.32744306499808,1,1,0.0,0
82.60576486099671,1,1,0.0,0
84.41426268400028,1,1,0.0,0
86.045455665997,1,1,0.0,0
87.37848800099891,1,1,0.0,0
89.04139612899962,1,1,0.0,0
90.91471535399978,1,1,0.0,0
92.66983455099762,1,1,0.0,0
95.20293718599714,1,1,0.0,0
99.03139157599799,1,1,0.0,0
102.60497364799812,1,1,0.0,0
104.74870100699991,1,1,0.0,0
106.65485514699685,1,1,0.0,0
109.65619179199712,1,1,0.0,0
111.45090661699942,1,1,0.0,0
114.4453383479995,1,1,0.0,0
117.04173842799719,1,1,0.0,0
120.34883025499948,1,1,0.0,0
123.66446001700024,1,1,0.0,0
126.72200334199806,1,1,0.0,0
127.74601295799948,1,1,0.0,0
128.82638190799844,1,1,0.0,0
132.50569599499795,1,1,0.0,0
136.2219722919981,1,1,0.0,0
139.69462944299812,1,1,0.0,0
140.85221066699887,1,1,0.0,0
144.1053638279991,1,1,0.0,0
145.195091485999,1,1,0.0,0
146.22135467599946,1,1,0.0,0
149.58635794699876,1,1,0.0,0
151.5254439370001,1,1,0.0,0
155.05465340499723,1,1,0.0,0
156.30957709599897,1,1,0.0,0
