model,prompt_len,out_len,batch,rep,status,prompt_tokens_total,output_tokens_total,ttft_ms,prefill_ms,prefill_tok_s,itl_p50_ms,itl_p95_ms,itl_p99_ms,tpot_ms,decode_tok_s,e2e_ms,last_token_logits,prefill_tflops,decode_bytes_per_step_mb,kv_share_of_step_bytes,decode_est_gbps,decode_pct_peak_bw,energy_j_per_out_token,avg_power_w,decode_gpu_util_pct,decode_sm_clock_mhz,peak_mem_gb
TinyLlama/TinyLlama-1.1B-Chat-v1.0,512,64,1,0,ok,512,64,55.58618499981094,55.58618499981094,9210.921742547027,33.50259799935884,36.964367600648984,39.46799083969382,34.194617682549016,29.244368493417696,2209.847099000399,False,20.264919156078644,2212.352,0.005539458458690083,64.69883712514962,4.160696921231487,2.145578125,62.00799160125709,19.0,1095.0,2.257912832
TinyLlama/TinyLlama-1.1B-Chat-v1.0,512,64,8,0,ok,4096,512,81.0572759992283,81.0572759992283,50532.169376614576,35.93235199969058,37.913418099924456,38.92670551942501,36.21756279365703,220.8873094409622,2362.763731999621,False,111.17566252551832,2298.138624,0.0426614195401992,63.453707172214386,4.080624255447871,0.316072265625,68.3689089563324,25.4,1095.0,2.582008832
