target,kernels,dram_read_mb,dram_write_mb,dram_total_mb,kernel_time_ms,dram_gbps_over_kernel_time,dram_pct_peak_time_weighted,sm_pct_peak_time_weighted,wall_ms,gpu_busy_fraction,model_estimate_mb,measured_over_model,achievable_copy_gbps
decode_tinyllama_b1_ctx1024_static,1082,2303.790336,36.890112,2340.680448,7.714272,303.4220789725848,14.913627479041445,10.290735467974166,26.022052499911297,0.29645132719743367,2223.16544,1.0528593175683767,1765.0
decode_tinyllama_b32_ctx1024,1079,4512.14784,2667.60704,7179.75488,11.564064,620.8677918074476,30.50642013741882,22.418487562849876,26.085374499984937,0.4433160045299207,2938.294272,2.4435111719130083,1765.0
decode_tinyllama_b32_ctx1024_static,1192,9133.540224,7179.588992,16313.129216,24.811008,657.4956251676675,32.26533778555067,44.390164713985016,26.924895000092874,0.9214894988416638,2938.294272,5.551904508494376,1765.0
